Tanggal,Produk,Ulasan,label,Cleaning,Tokenizing,Normalisasi,Stopword,Stemming,text
1 hari lalu,POLYTRON Mesin Cuci Front Loading 100% Kering Inverter 11 KG PFL 1105,"mantappp.  cucian bener2 kering.  yg ngirim kurir dari polytron langsung.  tapi sayangnya lama sampe seminggu. 

petunjuk pemasangan cukup jelas. ",1,mantappp cucian bener kering yg ngirim kurir dari polytron langsung tapi sayangnya lama sampe seminggu petunjuk pemasangan cukup jelas,"['mantappp', 'cucian', 'bener', 'kering', 'yg', 'ngirim', 'kurir', 'dari', 'polytron', 'langsung', 'tapi', 'sayangnya', 'lama', 'sampe', 'seminggu', 'petunjuk', 'pemasangan', 'cukup', 'jelas']","['mantap', 'cucian', 'benar', 'kering', 'yang', 'mengirim', 'kurir', 'dari', 'polytron', 'langsung', 'tapi', 'sayangnya', 'lama', 'sampai', 'seminggu', 'petunjuk', 'pemasangan', 'cukup', 'jelas']","['mantap', 'cucian', 'kering', 'mengirim', 'kurir', 'polytron', 'langsung', 'sayangnya', 'seminggu', 'petunjuk', 'pemasangan']","['mantap', 'cuci', 'kering', 'kirim', 'kurir', 'polytron', 'langsung', 'sayang', 'minggu', 'tunjuk', 'pasang']",mantap cuci kering kirim kurir polytron langsung sayang minggu tunjuk pasang
2 hari lalu,POLYTRON Active Speaker PAS 8FF22,mantap barang normal,1,mantap barang normal,"['mantap', 'barang', 'normal']","['mantap', 'barang', 'normal']","['mantap', 'barang']","['mantap', 'barang']",mantap barang
2 hari lalu,POLYTRON Mesin Cuci 2 Tabung Primadona Samba 8 Kg PWM 8072,barang original.  pengiraman cepat.  kurir ramah.  kerdus diterima kondisi baik,1,barang original pengiraman cepat kurir ramah kerdus diterima kondisi baik,"['barang', 'original', 'pengiraman', 'cepat', 'kurir', 'ramah', 'kerdus', 'diterima', 'kondisi', 'baik']","['barang', 'original', 'pengiraman', 'cepat', 'kurir', 'ramah', 'kerdus', 'diterima', 'kondisi', 'baik']","['barang', 'pengiraman', 'cepat', 'kurir', 'ramah', 'kerdus', 'diterima', 'kondisi']","['barang', 'iram', 'cepat', 'kurir', 'ramah', 'kerdus', 'terima', 'kondisi']",barang iram cepat kurir ramah kerdus terima kondisi
2 hari lalu,POLYTRON Active Speaker PAS 10D28,beli speaker aktif ya yg jelas jelas aja lah. . .  polytron the winning theme. . . ,1,beli speaker aktif ya yg jelas jelas aja lah polytron the winning theme,"['beli', 'speaker', 'aktif', 'ya', 'yg', 'jelas', 'jelas', 'aja', 'lah', 'polytron', 'the', 'winning', 'theme']","['beli', 'speaker', 'aktif', 'ya', 'yang', 'jelas', 'jelas', 'saja', 'lah', 'polytron', 'the', 'winning', 'theme']","['beli', 'aktif', 'polytron']","['beli', 'aktif', 'polytron']",beli aktif polytron
2 hari lalu,Polytron Speaker PPB C05A6,suaranya mantap 🔊 desain elegan bahannya kokoh respon penjualnya top,1,suaranya mantap desain elegan bahannya kokoh respon penjualnya top,"['suaranya', 'mantap', 'desain', 'elegan', 'bahannya', 'kokoh', 'respon', 'penjualnya', 'top']","['suaranya', 'mantap', 'desain', 'elegan', 'bahannya', 'kokoh', 'respon', 'penjualnya', 'top']","['suaranya', 'mantap', 'desain', 'elegan', 'bahannya', 'kokoh', 'respon', 'penjualnya']","['suara', 'mantap', 'desain', 'elegan', 'bahan', 'kokoh', 'respon', 'jual']",suara mantap desain elegan bahan kokoh respon jual
2 hari lalu,POLYTRON Smart Cinemax Soundbar TV 32 inch PLD 32BAG9858,produk lokal mantap,1,produk lokal mantap,"['produk', 'lokal', 'mantap']","['produk', 'lokal', 'mantap']","['produk', 'lokal', 'mantap']","['produk', 'lokal', 'mantap']",produk lokal mantap
2 hari lalu,POLYTRON Mesin Cuci 2 Tabung Primadona Giant 9 Kg PWM 9072,bisa muat banyak barangnya original 👍 gampang dipakai hemat listrik ⚡ desainnya elegan ✨ packaging aman 🙏,1,bisa muat banyak barangnya original gampang dipakai hemat listrik desainnya elegan packaging aman,"['bisa', 'muat', 'banyak', 'barangnya', 'original', 'gampang', 'dipakai', 'hemat', 'listrik', 'desainnya', 'elegan', 'packaging', 'aman']","['bisa', 'muat', 'banyak', 'barangnya', 'original', 'gampang', 'dipakai', 'hemat', 'listrik', 'desainnya', 'elegan', 'packaging', 'aman']","['muat', 'barangnya', 'gampang', 'dipakai', 'hemat', 'listrik', 'desainnya', 'elegan', 'packaging', 'aman']","['muat', 'barang', 'gampang', 'pakai', 'hemat', 'listrik', 'desain', 'elegan', 'packaging', 'aman']",muat barang gampang pakai hemat listrik desain elegan packaging aman
3 hari lalu,POLYTRON Mesin Cuci Front Loading 100% Kering Inverter 11 KG PFL 1105,"barang telah sampai,  pelayanan cepat dan barang nya aman. ",1,barang telah sampai pelayanan cepat dan barang nya aman,"['barang', 'telah', 'sampai', 'pelayanan', 'cepat', 'dan', 'barang', 'nya', 'aman']","['barang', 'telah', 'sampai', 'pelayanan', 'cepat', 'dan', 'barang', 'nya', 'aman']","['barang', 'pelayanan', 'cepat', 'barang', 'nya', 'aman']","['barang', 'layan', 'cepat', 'barang', 'nya', 'aman']",barang layan cepat barang nya aman
3 hari lalu,POLYTRON Kulkas 1 Pintu Belleza Varia 150 liter PRA 15DRX,"barang dikirim tepat waktu,  admin responsif.  ada barang yang cacat tapi urusan gampang melalui cs nyaa.  terimakasih",1,barang dikirim tepat waktu admin responsif ada barang yang cacat tapi urusan gampang melalui cs nyaa terimakasih,"['barang', 'dikirim', 'tepat', 'waktu', 'admin', 'responsif', 'ada', 'barang', 'yang', 'cacat', 'tapi', 'urusan', 'gampang', 'melalui', 'cs', 'nyaa', 'terimakasih']","['barang', 'dikirim', 'tepat', 'waktu', 'admin', 'responsif', 'ada', 'barang', 'yang', 'cacat', 'tapi', 'urusan', 'gampang', 'melalui', 'cs', 'nya', 'terimakasih']","['barang', 'dikirim', 'admin', 'responsif', 'barang', 'cacat', 'urusan', 'gampang', 'cs', 'nya', 'terimakasih']","['barang', 'kirim', 'admin', 'responsif', 'barang', 'cacat', 'urus', 'gampang', 'cs', 'nya', 'terimakasih']",barang kirim admin responsif barang cacat urus gampang cs nya terimakasih
3 hari lalu,POLYTRON Mesin Cuci 1 Tabung Zeromatic series Hijab 7.5 KG PAW 7527,alhamdulillah sudah datang keren banget pokonya terimakasih seller and kurir,1,alhamdulillah sudah datang keren banget pokonya terimakasih seller and kurir,"['alhamdulillah', 'sudah', 'datang', 'keren', 'banget', 'pokonya', 'terimakasih', 'seller', 'and', 'kurir']","['alhamdulillah', 'sudah', 'datang', 'keren', 'banget', 'pokoknya', 'terimakasih', 'seller', 'and', 'kurir']","['alhamdulillah', 'keren', 'banget', 'pokoknya', 'terimakasih', 'kurir']","['alhamdulillah', 'keren', 'banget', 'pokok', 'terimakasih', 'kurir']",alhamdulillah keren banget pokok terimakasih kurir
3 hari lalu,POLYTRON Mesin Cuci 1 Tabung Zeromatic Hijab 7.5 KG PAW 75517,cukup sekali sih beli disini.  beli tanggal 1 feb baru sampe tanggal 14 feb.  2 minggu ga ada kabar sama sekali.  admin nya semuanya gak informatif sama sekali.  harus selalu. . .  ,0,cukup sekali sih beli disini beli tanggal feb baru sampe tanggal feb minggu ga ada kabar sama sekali admin nya semuanya gak informatif sama sekali harus selalu,"['cukup', 'sekali', 'sih', 'beli', 'disini', 'beli', 'tanggal', 'feb', 'baru', 'sampe', 'tanggal', 'feb', 'minggu', 'ga', 'ada', 'kabar', 'sama', 'sekali', 'admin', 'nya', 'semuanya', 'gak', 'informatif', 'sama', 'sekali', 'harus', 'selalu']","['cukup', 'sekali', 'sih', 'beli', 'disini', 'beli', 'tangengenggakl', 'feb', 'baru', 'sampai', 'tangengenggakl', 'feb', 'minggu', 'engenggak', 'ada', 'kabar', 'sama', 'sekali', 'admin', 'nya', 'semuanya', 'engenggakk', 'informatif', 'sama', 'sekali', 'harus', 'selalu']","['sih', 'beli', 'beli', 'tangengenggakl', 'feb', 'tangengenggakl', 'feb', 'minggu', 'engenggak', 'kabar', 'admin', 'nya', 'engenggakk', 'informatif']","['sih', 'beli', 'beli', 'tangengenggakl', 'feb', 'tangengenggakl', 'feb', 'minggu', 'engenggak', 'kabar', 'admin', 'nya', 'engenggakk', 'informatif']",sih beli beli tangengenggakl feb tangengenggakl feb minggu engenggak kabar admin nya engenggakk informatif
3 hari lalu,POLYTRON Kulkas 1 Pintu Belleza 170 liter PRA 17Z,sebenarnya produknya bagus tapi ada dua catatan tidak baik: 1.  ada sedikit penyok di bagian dalam pintu yang berwarna putih 2.  pintu kulkas datang dalam keadaan tidak dip. . .  ,0,sebenarnya produknya bagus tapi ada dua catatan tidak baik ada sedikit penyok di bagian dalam pintu yang berwarna putih pintu kulkas datang dalam keadaan tidak dip,"['sebenarnya', 'produknya', 'bagus', 'tapi', 'ada', 'dua', 'catatan', 'tidak', 'baik', 'ada', 'sedikit', 'penyok', 'di', 'bagian', 'dalam', 'pintu', 'yang', 'berwarna', 'putih', 'pintu', 'kulkas', 'datang', 'dalam', 'keadaan', 'tidak', 'dip']","['sebenarnya', 'produknya', 'bagus', 'tapi', 'ada', 'dua', 'catatan', 'tidak', 'baik', 'ada', 'sedikit', 'penyok', 'di', 'bagian', 'dalam', 'pintu', 'yang', 'berwarna', 'putih', 'pintu', 'kulkas', 'datang', 'dalam', 'keadaan', 'tidak', 'dip']","['produknya', 'bagus', 'catatan', 'tidak', 'penyok', 'pintu', 'berwarna', 'putih', 'pintu', 'kulkas', 'tidak']","['produk', 'bagus', 'catat', 'tidak', 'penyok', 'pintu', 'warna', 'putih', 'pintu', 'kulkas', 'tidak']",produk bagus catat tidak penyok pintu warna putih pintu kulkas tidak
3 hari lalu,"POLYTRON SMART DIGITAL TV 24""  PLD 24CV1869","pembelian kedua. . . .  ini tv penangkap sinyalnya jelek banget,  dirumah ada tv 5 dicobain tetep aja sinyal ilang2an. . . . coba perbaikin bagian produksi. . . saya beli dua tv ini. . .  ",0,pembelian kedua ini tv penangkap sinyalnya jelek banget dirumah ada tv dicobain tetep aja sinyal ilangan coba perbaikin bagian produksi saya beli dua tv ini,"['pembelian', 'kedua', 'ini', 'tv', 'penangkap', 'sinyalnya', 'jelek', 'banget', 'dirumah', 'ada', 'tv', 'dicobain', 'tetep', 'aja', 'sinyal', 'ilangan', 'coba', 'perbaikin', 'bagian', 'produksi', 'saya', 'beli', 'dua', 'tv', 'ini']","['pembelian', 'kedua', 'ini', 'tv', 'penangkap', 'sinyalnya', 'jelek', 'banget', 'dirumah', 'ada', 'tv', 'dicobain', 'tetap', 'saja', 'sinyal', 'ilangan', 'coba', 'memperbaiki', 'bagian', 'produksi', 'saya', 'beli', 'dua', 'tv', 'ini']","['pembelian', 'tv', 'penangkap', 'sinyalnya', 'jelek', 'banget', 'dirumah', 'tv', 'dicobain', 'sinyal', 'ilangan', 'coba', 'memperbaiki', 'produksi', 'beli', 'tv']","['beli', 'tv', 'tangkap', 'sinyal', 'jelek', 'banget', 'rumah', 'tv', 'dicobain', 'sinyal', 'ilangan', 'coba', 'baik', 'produksi', 'beli', 'tv']",beli tv tangkap sinyal jelek banget rumah tv dicobain sinyal ilangan coba baik produksi beli tv
3 hari lalu,"POLYTRON SMART DIGITAL TV 24""  PLD 24CV1869","pembelian pertama. . . .  ini tv penangkap sinyalnya jelek banget,  dirumah ada tv 5 dicobain tetep aja sinyal ilang2an. . . . coba perbaikin bagian produksi. . . saya beli dua tv in. . .  ",0,pembelian pertama ini tv penangkap sinyalnya jelek banget dirumah ada tv dicobain tetep aja sinyal ilangan coba perbaikin bagian produksi saya beli dua tv in,"['pembelian', 'pertama', 'ini', 'tv', 'penangkap', 'sinyalnya', 'jelek', 'banget', 'dirumah', 'ada', 'tv', 'dicobain', 'tetep', 'aja', 'sinyal', 'ilangan', 'coba', 'perbaikin', 'bagian', 'produksi', 'saya', 'beli', 'dua', 'tv', 'in']","['pembelian', 'pertama', 'inii', 'tv', 'penangkap', 'siniyalnya', 'jelek', 'banget', 'dirumah', 'ada', 'tv', 'dicobaini', 'tetap', 'saja', 'siniyal', 'ilangan', 'coba', 'memperbaiki', 'bagian', 'produksi', 'saya', 'beli', 'dua', 'tv', 'ini']","['pembelian', 'inii', 'tv', 'penangkap', 'siniyalnya', 'jelek', 'banget', 'dirumah', 'tv', 'dicobaini', 'siniyal', 'ilangan', 'coba', 'memperbaiki', 'produksi', 'beli', 'tv']","['beli', 'ini', 'tv', 'tangkap', 'siniyalnya', 'jelek', 'banget', 'rumah', 'tv', 'dicobaini', 'siniyal', 'ilangan', 'coba', 'baik', 'produksi', 'beli', 'tv']",beli ini tv tangkap siniyalnya jelek banget rumah tv dicobaini siniyal ilangan coba baik produksi beli tv
3 hari lalu,POLYTRON Chest Freezer 100 Liter PCF 118,"barang sesuai deskripsi,  tidak cacat saat pengiriman,  dites menyala suhunya bisa dingin",1,barang sesuai deskripsi tidak cacat saat pengiriman dites menyala suhunya bisa dingin,"['barang', 'sesuai', 'deskripsi', 'tidak', 'cacat', 'saat', 'pengiriman', 'dites', 'menyala', 'suhunya', 'bisa', 'dingin']","['barang', 'sesuai', 'deskripsi', 'tidak', 'cacat', 'saat', 'pengiriman', 'dites', 'menyala', 'suhunya', 'bisa', 'dingin']","['barang', 'sesuai', 'deskripsi', 'tidak', 'cacat', 'pengiriman', 'dites', 'menyala', 'suhunya', 'dingin']","['barang', 'sesuai', 'deskripsi', 'tidak', 'cacat', 'kirim', 'tes', 'nyala', 'suhu', 'dingin']",barang sesuai deskripsi tidak cacat kirim tes nyala suhu dingin
3 hari lalu,POLYTRON Rice Cooker Donabe 2 Liter PRC 1201,aesthetic,1,aesthetic,['aesthetic'],['aesthetic'],[],[],
3 hari lalu,"POLYTRON Cinemax Soundbar DIGITAL LED TV 32"" PLD 32BV1558",barang sudah nyampai sangat cepat. toko ini sangat recommended dan sangat ramah. pelayanan super cepat dan barang super aman dan origonal. sukses selalu seller dan kurir,1,barang sudah nyampai sangat cepat toko ini sangat recommended dan sangat ramah pelayanan super cepat dan barang super aman dan origonal sukses selalu seller dan kurir,"['barang', 'sudah', 'nyampai', 'sangat', 'cepat', 'toko', 'ini', 'sangat', 'recommended', 'dan', 'sangat', 'ramah', 'pelayanan', 'super', 'cepat', 'dan', 'barang', 'super', 'aman', 'dan', 'origonal', 'sukses', 'selalu', 'seller', 'dan', 'kurir']","['barang', 'sudah', 'nyampai', 'sangat', 'cepat', 'toko', 'ini', 'sangat', 'recommended', 'dan', 'sangat', 'ramah', 'pelayanan', 'super', 'cepat', 'dan', 'barang', 'super', 'aman', 'dan', 'origonal', 'sukses', 'selalu', 'seller', 'dan', 'kurir']","['barang', 'nyampai', 'cepat', 'recommended', 'ramah', 'pelayanan', 'cepat', 'barang', 'aman', 'origonal', 'sukses', 'kurir']","['barang', 'nyampai', 'cepat', 'recommended', 'ramah', 'layan', 'cepat', 'barang', 'aman', 'origonal', 'sukses', 'kurir']",barang nyampai cepat recommended ramah layan cepat barang aman origonal sukses kurir
3 hari lalu,POLYTRON Kulkas 2 Pintu Beauty metal door 210 liter PRB 219,"banyak kendala nya ketika memesan,  banyak drama,  dan pengiriman lama juga",0,banyak kendala nya ketika memesan banyak drama dan pengiriman lama juga,"['banyak', 'kendala', 'nya', 'ketika', 'memesan', 'banyak', 'drama', 'dan', 'pengiriman', 'lama', 'juga']","['banyak', 'kendala', 'nya', 'ketika', 'memesan', 'banyak', 'drama', 'dan', 'pengiriman', 'lama', 'juga']","['kendala', 'nya', 'memesan', 'pengiriman']","['kendala', 'nya', 'mes', 'kirim']",kendala nya mes kirim
4 hari lalu,POLYTRON Kulkas 1 Pintu Beauty metal door 170 liter PRB 179,alhamdulillah barangnya sangat bagus🥰,1,alhamdulillah barangnya sangat bagus,"['alhamdulillah', 'barangnya', 'sangat', 'bagus']","['alhamdulillah', 'barangnya', 'sangat', 'bagus']","['alhamdulillah', 'barangnya', 'bagus']","['alhamdulillah', 'barang', 'bagus']",alhamdulillah barang bagus
4 hari lalu,"POLYTRON Cinemax Digital LED TV 32"" PLD 32TV1855","stock habis pengiriman lamaaaa, , ",1,stock habis pengiriman lamaaaa,"['stock', 'habis', 'pengiriman', 'lamaaaa']","['stock', 'habis', 'pengiriman', 'lamaaaa']","['habis', 'pengiriman', 'lamaaaa']","['habis', 'kirim', 'lamaaaa']",habis kirim lamaaaa
4 hari lalu,"POLYTRON SMART DIGITAL TV 24""  PLD 24CV1869","berfungsi bgt baik alhamdulillah selamat sampai tujuan hanya pengiriman yang lama . 
kk untuk klaim gratis langganan mola aksesnya gimana ?",1,berfungsi bgt baik alhamdulillah selamat sampai tujuan hanya pengiriman yang lama kk untuk klaim gratis langganan mola aksesnya gimana,"['berfungsi', 'bgt', 'baik', 'alhamdulillah', 'selamat', 'sampai', 'tujuan', 'hanya', 'pengiriman', 'yang', 'lama', 'kk', 'untuk', 'klaim', 'gratis', 'langganan', 'mola', 'aksesnya', 'gimana']","['berfungsi', 'banget', 'baik', 'alhamdulillah', 'selamat', 'sampai', 'tujuan', 'hanya', 'pengiriman', 'yang', 'lama', 'kakak', 'untuk', 'klaim', 'gratis', 'langganan', 'mola', 'aksesnya', 'bagaimana']","['berfungsi', 'banget', 'alhamdulillah', 'selamat', 'tujuan', 'pengiriman', 'kakak', 'klaim', 'langganan', 'aksesnya']","['fungsi', 'banget', 'alhamdulillah', 'selamat', 'tuju', 'kirim', 'kakak', 'klaim', 'langgan', 'akses']",fungsi banget alhamdulillah selamat tuju kirim kakak klaim langgan akses
