,Unnamed: 0,Produk,Rating,Ulasan,Tanggal,label,Cleaning
25,25,POLYTRON Mesin Cuci 1 Tabung Zeromatic Hijab 7.5 KG PAW 75517,1,cukup sekali sih beli disini.  beli tanggal 1 feb baru sampe tanggal 14 feb.  2 minggu ga ada kabar sama sekali.  admin nya semuanya gak informatif sama sekali.  harus selalu. . .  ,3 hari lalu,1,cukup sekali sih beli disini beli tanggal feb baru sampe tanggal feb minggu ga ada kabar sama sekali admin nya semuanya gak informatif sama sekali harus selalu
26,26,POLYTRON Kulkas 1 Pintu Belleza 170 liter PRA 17Z,3,sebenarnya produknya bagus tapi ada dua catatan tidak baik: 1.  ada sedikit penyok di bagian dalam pintu yang berwarna putih 2.  pintu kulkas datang dalam keadaan tidak dip. . .  ,3 hari lalu,1,sebenarnya produknya bagus tapi ada dua catatan tidak baik ada sedikit penyok di bagian dalam pintu yang berwarna putih pintu kulkas datang dalam keadaan tidak dip
27,27,"POLYTRON SMART DIGITAL TV 24""  PLD 24CV1869",1,"pembelian kedua. . . .  ini tv penangkap sinyalnya jelek banget,  dirumah ada tv 5 dicobain tetep aja sinyal ilang2an. . . . coba perbaikin bagian produksi. . . saya beli dua tv ini. . .  ",3 hari lalu,1,pembelian kedua ini tv penangkap sinyalnya jelek banget dirumah ada tv dicobain tetep aja sinyal ilangan coba perbaikin bagian produksi saya beli dua tv ini
28,28,"POLYTRON SMART DIGITAL TV 24""  PLD 24CV1869",1,"pembelian pertama. . . .  ini tv penangkap sinyalnya jelek banget,  dirumah ada tv 5 dicobain tetep aja sinyal ilang2an. . . . coba perbaikin bagian produksi. . . saya beli dua tv in. . .  ",3 hari lalu,1,pembelian pertama ini tv penangkap sinyalnya jelek banget dirumah ada tv dicobain tetep aja sinyal ilangan coba perbaikin bagian produksi saya beli dua tv in
29,29,POLYTRON Chest Freezer 100 Liter PCF 118,5,"barang sesuai deskripsi,  tidak cacat saat pengiriman,  dites menyala suhunya bisa dingin",3 hari lalu,1,barang sesuai deskripsi tidak cacat saat pengiriman dites menyala suhunya bisa dingin
30,30,POLYTRON Rice Cooker Donabe 2 Liter PRC 1201,5,aesthetic,3 hari lalu,1,aesthetic
31,31,"POLYTRON Cinemax Soundbar DIGITAL LED TV 32"" PLD 32BV1558",5,barang sudah nyampai sangat cepat. toko ini sangat recommended dan sangat ramah. pelayanan super cepat dan barang super aman dan origonal. sukses selalu seller dan kurir,3 hari lalu,1,barang sudah nyampai sangat cepat toko ini sangat recommended dan sangat ramah pelayanan super cepat dan barang super aman dan origonal sukses selalu seller dan kurir
32,32,POLYTRON Kulkas 2 Pintu Beauty metal door 210 liter PRB 219,3,"banyak kendala nya ketika memesan,  banyak drama,  dan pengiriman lama juga",3 hari lalu,1,banyak kendala nya ketika memesan banyak drama dan pengiriman lama juga
33,33,POLYTRON Kulkas 1 Pintu Beauty metal door 170 liter PRB 179,5,alhamdulillah barangnya sangat bagus🥰,4 hari lalu,1,alhamdulillah barangnya sangat bagus
34,34,"POLYTRON Cinemax Digital LED TV 32"" PLD 32TV1855",5,"stock habis pengiriman lamaaaa, , ",4 hari lalu,1,stock habis pengiriman lamaaaa
35,35,"POLYTRON SMART DIGITAL TV 24""  PLD 24CV1869",5,"berfungsi bgt baik alhamdulillah selamat sampai tujuan hanya pengiriman yang lama . 
kk untuk klaim gratis langganan mola aksesnya gimana ?",4 hari lalu,1,berfungsi bgt baik alhamdulillah selamat sampai tujuan hanya pengiriman yang lama kk untuk klaim gratis langganan mola aksesnya gimana
36,36,POLYTRON Mesin Cuci 1 Tabung Zeromatic series Hijab 8.5 KG PAW 8527,5,"barang sesuai pesanan,  original,  pengiriman cepat,  respon penjual baik. . . ",4 hari lalu,1,barang sesuai pesanan original pengiriman cepat respon penjual baik
37,37,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 8 KG PWM 8076,5,top markotop,5 hari lalu,1,top markotop
38,38,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 7 KG PWM 7076,5,"alhamdulillah barang sudah sampai dengan selamat,  admin ramah,  kurirnya juga ramah.  cuman pengiriman agak lama karna libur panjang. 
overall baguuuss semuanyaa,  terima kas. . .  ",5 hari lalu,1,alhamdulillah barang sudah sampai dengan selamat admin ramah kurirnya juga ramah cuman pengiriman agak lama karna libur panjang overall baguuuss semuanyaa terima kas
39,39,POLYTRON Mesin Cuci 1 Tabung Zeromatic Laguna Hijab 10 KG PAW 1028,5,"mantap barang original,  sesuai diskripsi. sangat membantu kegiatan istri,  semua jadi ringan.  semoga awet",5 hari lalu,1,mantap barang original sesuai diskripsi sangat membantu kegiatan istri semua jadi ringan semoga awet
40,40,POLYTRON Bluetooth Speaker PMA 9526 /B,3,"utk pengiriman baiknya disertakan nomor resi,  dan diupdate di tokopedia sehingga customer bs melihat progress pengiriman sampai dimana.  jangan bilangnya sudah masuk pengi. . .  ",5 hari lalu,1,utk pengiriman baiknya disertakan nomor resi dan diupdate di tokopedia sehingga customer bs melihat progress pengiriman sampai dimana jangan bilangnya sudah masuk pengi
41,41,POLYTRON Mesin Cuci 1 Tabung Zeromatic Laguna Hijab 8 KG PAW 8028,4,barqng bagus hanya pengiriman lama perlu ditingkatkan pelayqnan. terima kasih,5 hari lalu,1,barqng bagus hanya pengiriman lama perlu ditingkatkan pelayqnan terima kasih
42,42,POLYTRON Kulkas 2 Pintu Belleza 210 liter PRM 21DMY,5,barang sampai dengan aman,5 hari lalu,1,barang sampai dengan aman
43,43,POLYTRON Kulkas 2 Pintu Belleza JUMBO Inverter 240 Liter PRW 25VX,5,"sejauh ini barang bagus,  sudah 5bln pemakaian",5 hari lalu,1,sejauh ini barang bagus sudah bln pemakaian
44,44,POLYTRON Mesin Cuci 1 Tabung Zeromatic Hijab 7.5 KG PAW 75517,5,sudah di terima dengan baik. ,6 hari lalu,1,sudah di terima dengan baik
45,45,POLYTRON Cinemax Digital TV 24 inch PLD 24TV1855,5,bagus juga tv nya dan suara soundbar nya juga mantap,6 hari lalu,1,bagus juga tv nya dan suara soundbar nya juga mantap
46,46,Polytron AC SMART Neuva Pro SMART AC 1/2 PK PAC 05VZS,5,pengiriman tepat waktu. .  barang original karena official,6 hari lalu,1,pengiriman tepat waktu barang original karena official
47,47,POLYTRON Kulkas 2 Pintu Beauty Steel 240 liter PRB 287LB,5,"bisa muat banyak mutu terjamin sni barangnya original 👍 ada garansi resmi desainnya elegan ✨ gampang dipakai proses pesanan cepat packaging aman 🙏
cek out 2 februari,  p. . .  ",6 hari lalu,1,bisa muat banyak mutu terjamin sni barangnya original ada garansi resmi desainnya elegan gampang dipakai proses pesanan cepat packaging aman cek out februari
48,48,POLYTRON Professional Active Speaker PAS PRO12F6,5,"maaf br kasih ulasan skrg
kualitas bagus",6 hari lalu,1,maaf br kasih ulasan skrg kualitas bagus
49,49,POLYTRON Smart Projector - PLP 91LFA 120 Inch FHD,3,"cs ditanya delivery,  jawab normatip seperti robot,  spt tidak ada kepastian. . 
delivery leleeet  info 2 -7 hari tp delay 8 hari total 15 hari dari pembelian,  padahal barang. . .  ",6 hari lalu,1,cs ditanya delivery jawab normatip seperti robot spt tidak ada kepastian delivery leleeet info hari tp delay hari total hari dari pembelian padahal barang
50,50,"POLYTRON SMART DIGITAL TV 24""  PLD 24CV1869",5,"terimakasih topet
semoga awet",6 hari lalu,1,terimakasih topet semoga awet
51,51,POLYTRON New Belleza Big Liter Kulkas 2 Pintu PRM 495X,5,"barang yang datang,  sesuai dengan barang yang dipesan,  ga ada cacat,  datang mulus",1 minggu lalu,1,barang yang datang sesuai dengan barang yang dipesan ga ada cacat datang mulus
52,52,POLYTRON Mesin Cuci 1 Tabung Zeromatic Hijab 9 KG PAW 90518B,5,mantaaaaaps sesuai ekspektasi,1 minggu lalu,1,mantaaaaaps sesuai ekspektasi
53,53,POLYTRON Kulkas 2 Pintu Beauty metal door 210 liter PRB 219,5,"barang sudah sampai,  thx seller + tokped",1 minggu lalu,1,barang sudah sampai thx seller tokped
54,54,POLYTRON Mesin Cuci 1 Tabung 8 KG PAW 8029Y,5,"barang oke,  sampai cepat cuma 4 hari walaupun lokasi bali timur.  nota lengkap kartu garansi",1 minggu lalu,1,barang oke sampai cepat cuma hari walaupun lokasi bali timur nota lengkap kartu garansi
55,55,POLYTRON Cinemax Digital TV 24 inch PLD 24TV1855,5,barang bagus. .  berfungsi dengan baik. .  pengirimannya juga cepat,1 minggu lalu,1,barang bagus berfungsi dengan baik pengirimannya juga cepat
56,56,POLYTRON Mesin Cuci 1 Tabung Zeromatic Hijab 10 KG PAW 10518B,5,cuma agak lama aja pengirimanya,1 minggu lalu,1,cuma agak lama aja pengirimanya
57,57,POLYTRON Kulkas 2 Pintu Belleza 220 liter PRM 23DMY,5,"barang sesuai deskripsi,  bagus,  harga murah
banyak diskon
pengiriman aman
semoga awet",1 minggu lalu,1,barang sesuai deskripsi bagus harga murah banyak diskon pengiriman aman semoga awet
58,58,POLYTRON 4K UHD Smart Cinemax Soundbar Google TV 50 Inch PLD 50BUG5959,3,pengirimannya prlu ditingkatkan lagi shg pembeli merasa puas,1 minggu lalu,1,pengirimannya prlu ditingkatkan lagi shg pembeli merasa puas
59,59,POLYTRON Kulkas 1 Pintu Metallic 150 Liter PRB 157P,3,"penyok sedikit,  tapi tidak masalah cuma jadi kurang sempurna aja. ",1 minggu lalu,1,penyok sedikit tapi tidak masalah cuma jadi kurang sempurna aja
60,60,POLYTRON Cinemax Digital TV 24 inch PLD 24TV1855,5,cakep barang nya,1 minggu lalu,1,cakep barang nya
61,61,POLYTRON Mesin Cuci 1 Tabung Zeromatic Hijab 9 KG PAW 90518B,3,"barang datang sudah ada penyokan,  bekas d kardusnya pun ada",1 minggu lalu,1,barang datang sudah ada penyokan bekas kardusnya pun ada
62,62,POLYTRON Mesin Cuci 1 Tabung Zeromatic Laguna Hijab 8 KG PAW 8028,5,mantap punyaaaaa,1 minggu lalu,1,mantap punyaaaaa
63,63,"POLYTRON DIGITAL LED TV 32"" PLD 32V1853",5,alhamdulillah sudah sampai. ,1 minggu lalu,1,alhamdulillah sudah sampai
64,64,POLYTRON Bluetooth Speaker PMA 9310 /BG,5,"barang paket sudah sampai di terima dengan selamat,  pengiriman barang paket cepat dan aman melalui cargo,  kwalitas barang bagus original suara mantap penampilan oke polyt. . .  ",1 minggu lalu,1,barang paket sudah sampai di terima dengan selamat pengiriman barang paket cepat dan aman melalui cargo kwalitas barang bagus original suara mantap penampilan oke polyt
65,65,POLYTRON Primadona Giant Mesin cuci 2 tabung 14 Kg PWM 1403,4,semoga lancar dan tahan lama,1 minggu lalu,1,semoga lancar dan tahan lama
66,66,POLYTRON Active Speaker PAS 8F12,5,"mantap sesuai pesanan, dan deskripsi , , pakingnya aman,  kualitas original semua berfungsi dengan baik . . . maaf ga bisa kasi foto buat loading susah. . . cukup bintang yg berbic. . .  ",1 minggu lalu,1,mantap sesuai pesanan dan deskripsi pakingnya aman kualitas original semua berfungsi dengan baik maaf ga bisa kasi foto buat loading susah cukup bintang yg berbic
67,67,POLYTRON Kulkas 1 Pintu Beauty Steel 170 liter PRB 177LB,5,mantap kulkasnya dingin. . ,1 minggu lalu,1,mantap kulkasnya dingin
68,68,POLYTRON Kulkas Mini 50 liter PRH 51R,5,barang original berfunvsi dengan baik,1 minggu lalu,1,barang original berfunvsi dengan baik
69,69,POLYTRON Mesin Cuci 1 Tabung Zeromatic Hijab 9 KG PAW 90518B,5,pengiriman cepat,1 minggu lalu,1,pengiriman cepat
70,70,POLYTRON Mesin Cuci 1 Tabung Zeromatic Laguna Hijab 10 KG PAW 1028,1,"baru beli barang gak bisa di pake,  udh panggil teknisi bener eh rusak lagi sampe 5x bolak balik panggil teknisi nya buat benerin tp gak lama rusak lagi.  parah",1 minggu lalu,1,baru beli barang gak bisa di pake udh panggil teknisi bener eh rusak lagi sampe bolak balik panggil teknisi nya buat benerin tp gak lama rusak lagi parah
71,71,POLYTRON Multimedia Speaker PMA 9310 /BG,5,bombastis,1 minggu lalu,1,bombastis
72,72,POLYTRON Professional Active Speaker PAS PRO12F6,5,"mantab. . . . 
suaranya bagus
semoga awet. . . polytron memang kebanggaan dalam negeri. ",1 minggu lalu,1,mantab suaranya bagus semoga awet polytron memang kebanggaan dalam negeri
73,73,Polytron Party Speaker Bluetooth Karaoke Portable Wireless PPS 8L22,1,"barang baru di kirim di hari ke 7 sejak tanggal pemesanan dan barang di terima di hari ke 8.  
itupun karena di komplain duluan dg melibatkan pihak tokopedia care service. . . .  ",1 minggu lalu,1,barang baru di kirim di hari ke sejak tanggal pemesanan dan barang di terima di hari ke itupun karena di komplain duluan dg melibatkan pihak tokopedia care service
74,74,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 9 KG PWM 9076,5,mantul bosqu semoga awet ya 😁,1 minggu lalu,1,mantul bosqu semoga awet ya
75,75,POLYTRON Mesin Cuci 1 Tabung Zeromatic series Hijab 8.5 KG PAW 8527,5,pengiriman cepat dan aman karena pengiriman dari toko sendiri.  barang udah pasti ori harga murah.  puas banget belanja disini,1 minggu lalu,1,pengiriman cepat dan aman karena pengiriman dari toko sendiri barang udah pasti ori harga murah puas banget belanja disini
76,76,POLYTRON Kulkas 1 Pintu Belleza 180 liter PRA 18Z,5,keren,1 minggu lalu,1,keren
77,77,POLYTRON Smart Cinemax Android TV 43 inch PLD 43TAG9959,5,"produk diterima dalam kondisi baik,  layanan seller baik,  semoga produknya awet,  recommended seller",1 minggu lalu,1,produk diterima dalam kondisi baik layanan seller baik semoga produknya awet recommended seller
78,78,POLYTRON Multimedia Speaker PMA 9527 /BA,5,"barang sesuai pic tokonya amanah,  pengirimanya yg lama",1 minggu lalu,1,barang sesuai pic tokonya amanah pengirimanya yg lama
79,79,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 7 KG PWM 7076,5,"barang nyampe dengan baik,  kurir ok,  lengkap,  semua terimakasih",1 minggu lalu,1,barang nyampe dengan baik kurir ok lengkap semua terimakasih
80,80,POLYTRON Dispenser Galon Bawah Hydra dengan UV PWC 778UV,5,gratis ongkir pengiriman cepat. . .  mantappp pokoknya. smg awet,1 minggu lalu,1,gratis ongkir pengiriman cepat mantappp pokoknya smg awet
81,81,POLYTRON Multimedia Speaker PMA 9310 /BG,5,mantappp,1 minggu lalu,1,mantappp
82,82,"POLYTRON DIGITAL LED TV 32"" PLD 32V1853",5,"barang sesuai deskripsi,  packing aman pake kayu",1 minggu lalu,1,barang sesuai deskripsi packing aman pake kayu
83,83,Polytron AC SMART Neuva Pro SMART AC 1/2 PK PAC 05VZS,5,"bagus,  aplikasi nyala,  polytron cooperative membantu . . . ",1 minggu lalu,1,bagus aplikasi nyala polytron cooperative membantu
84,84,POLYTRON Dispenser Galon Bawah PWC 600,5,"oke ,  tapi pengiriman lama h+4 baru sampe padahal tinggal dijakarta selatan",1 minggu lalu,1,oke tapi pengiriman lama baru sampe padahal tinggal dijakarta selatan
85,85,POLYTRON Active Speaker PAS 8CF28,5,"barangnya bagus
suaranya joss
pengiriman cukup cepat",1 minggu lalu,1,barangnya bagus suaranya joss pengiriman cukup cepat
86,86,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 10 KG PWM 1076,5,alhamdulillah barang dteng dengan selamat.  mesin cuci baru mengganti polytron model lama. mudah2an lebih awet dari yg kmrn. ,1 minggu lalu,1,alhamdulillah barang dteng dengan selamat mesin cuci baru mengganti polytron model lama mudahan lebih awet dari yg kmrn
87,87,POLYTRON Kulkas 1 Pintu Belleza 170 liter PRA 17Z,5,"mantap,  keren kulkasnya.  tadinya pengen yang pra 18z,  tapi keburu abis. . .  huhu",2 minggu lalu,1,mantap keren kulkasnya tadinya pengen yang pra tapi keburu abis huhu
88,88,POLYTRON Belleza JUMBO Inverter Kulkas 2 Pintu 220 Liter PRW 23VX,5,keren,2 minggu lalu,1,keren
89,89,POLYTRON Active Speaker PAS 8EF22,5,"barang sesuai deskripsi, bagus dan berfungsi dgn baik. harga ekonomis dan ada potongan harga.  pengiriman cepat.  seller ramah.  terimakasih. . ",2 minggu lalu,1,barang sesuai deskripsi bagus dan berfungsi dgn baik harga ekonomis dan ada potongan harga pengiriman cepat seller ramah terimakasih
90,90,POLYTRON Mesin Cuci 2 tabung 8Kg Primadona Giant PWM 801,5,bagus sih.  cuman lama prosesnya.  pengirimannya cukup lah yapakai kurir toko soalnya,2 minggu lalu,1,bagus sih cuman lama prosesnya pengirimannya cukup lah yapakai kurir toko soalnya
91,91,POLYTRON Professional Active Speaker PAS PRO15F3,5,semua berfungsi sbagai mana mestinya,2 minggu lalu,1,semua berfungsi sbagai mana mestinya
92,92,POLYTRON New Belleza Inverter Kulkas 2 pintu Side by side PRS 460B,5,"garansi cukup lama
spesifikasi bagus
ukuran cukup luas,  kemudahan menggunakan juga sangan mudah,  daya listrik low watt,  pengiriman cepet kurir amanah baik,  dinkirim pas t. . .  ",2 minggu lalu,1,garansi cukup lama spesifikasi bagus ukuran cukup luas kemudahan menggunakan juga sangan mudah daya listrik low watt pengiriman cepet kurir amanah baik dinkirim pas
93,93,POLYTRON Multimedia Speaker PMA 9310 /BG,5,"recommended seller dgn fasilitas ongkir tokonya,  👍👍👍👍👍⭐⭐⭐⭐⭐",2 minggu lalu,1,recommended seller dgn fasilitas ongkir tokonya
94,94,POLYTRON Active Speaker PAS 10DF28,5,suaranya mantap 🔊,2 minggu lalu,1,suaranya mantap
95,95,Polytron AC Neuva Pro 1 PK PAC 09VZ,5,sesuai deskripsi,2 minggu lalu,1,sesuai deskripsi
96,96,POLYTRON Active Speaker PAS 8F12,5,"barang mulus,  ori,  sesuai spesifikasi,  kualitas suara mantap.  tks",2 minggu lalu,1,barang mulus ori sesuai spesifikasi kualitas suara mantap tks
97,97,POLYTRON Multimedia Speaker PMA 9526 /B,5,suara nya bagus .  .  apalagi bass nya mantep 👍👍👍👍,2 minggu lalu,1,suara nya bagus apalagi bass nya mantep
98,98,"POLYTRON SMART DIGITAL TV 43""  PLD 43CV1569",4,"dari mulai pemesanan hari jum'at baru di proses hari senin,  hari senin juga brg di kirim sampai akhirnya barang datang di hari jum'at berikutnya. .  total proses +. . .  ",2 minggu lalu,1,dari mulai pemesanan hari jumat baru di proses hari senin hari senin juga brg di kirim sampai akhirnya barang datang di hari jumat berikutnya total proses
99,99,POLYTRON Chest Freezer 200 Liter PCF 218,3,barang pertama yang diterima pintu kulkas penyok.  proses penukaran lama sekali pembelian tanggal 5 januari baru di tukar tgl 1 feb udh nyaris sebulan,2 minggu lalu,1,barang pertama yang diterima pintu kulkas penyok proses penukaran lama sekali pembelian tanggal januari baru di tukar tgl feb udh nyaris sebulan
100,100,POLYTRON 4K UHD Smart Google TV 43 Inch PLD 43UG5959,4,"barangnya oke,  pengirimannya tapi ya allah. ",2 minggu lalu,1,barangnya oke pengirimannya tapi ya allah
101,101,POLYTRON Kulkas 1 Pintu Belleza 170 liter PRA 17Z,5,"alhamdulillah kulkasnya sampai dengan selamat,  tidak ada yg penyok lecet,  berfungsi juga dengan baik",2 minggu lalu,1,alhamdulillah kulkasnya sampai dengan selamat tidak ada yg penyok lecet berfungsi juga dengan baik
102,102,POLYTRON Kulkas 1 Pintu Belleza 180 liter PRA 18DMY,5,"proses pengiriman barang cepat
pesan jum'at malam,  barang sampai dihari minggu sore
kurir ramah,  produk lengkap semua gaada yang kurang
semoga barangnya awet,  dari du. . .  ",2 minggu lalu,1,proses pengiriman barang cepat pesan jumat malam barang sampai dihari minggu sore kurir ramah produk lengkap semua gaada yang kurang semoga barangnya awet dari du
103,103,POLYTRON Mesin Cuci 1 Tabung Zeromatic Hijab 7.5 KG PAW 75517,5,barang bagus banget. packing rapih. puas. puas banget,2 minggu lalu,1,barang bagus banget packing rapih puas puas banget
104,104,POLYTRON Multimedia Speaker PMA 9310 /BG,5,suara oke. .  mantap,2 minggu lalu,1,suara oke mantap
105,105,POLYTRON Multimedia Speaker PMA 9310 /BG,5,sesuai dengan harga nya,2 minggu lalu,1,sesuai dengan harga nya
106,106,POLYTRON Kulkas 1 Pintu Belleza 150 liter PRA 15CMS,5,awesome!,2 minggu lalu,1,awesome
107,107,POLYTRON Kulkas 2 Pintu New Belleza Big Liter 350 Liters PRM 495GH,5,barang ok,2 minggu lalu,1,barang ok
108,108,POLYTRON Kulkas 2 Pintu Beauty metal door 210 liter PRB 219,3,"pengiriman dan kemasan kurang aman. . 
kulkas saya penyok",2 minggu lalu,1,pengiriman dan kemasan kurang aman kulkas saya penyok
109,109,POLYTRON Kulkas 1 Pintu Metallic 180 Liter PRB 186,5,"mantaap,  sampai dengan selamat. . . ",2 minggu lalu,1,mantaap sampai dengan selamat
110,110,POLYTRON Mesin Cuci 1 Tabung 10 KG PAW 1029Y,5,"barang sesuai diskripsi,  kurirnya sabar banget.  terima kasih",2 minggu lalu,1,barang sesuai diskripsi kurirnya sabar banget terima kasih
111,111,Polytron AC Deluxe 2 1 PK PAC 09VH,5,mantap surantap.  pesanan kedu pengiriman nya lebih cepat makasih,2 minggu lalu,1,mantap surantap pesanan kedu pengiriman nya lebih cepat makasih
112,112,Polytron Speaker PPB C05A6,5,respon penjualnya top,2 minggu lalu,1,respon penjualnya top
113,113,"POLYTRON LED TV DIGITAL 43"" PLD 43V8853",5,"barang oke n pengiriman cepat,  packaging aman",2 minggu lalu,1,barang oke pengiriman cepat packaging aman
114,114,"POLYTRON Cinemax Digital LED TV 32"" PLD 32TV1855",5,sipp,2 minggu lalu,1,sipp
