Nama Pengguna,Produk,Rating,Ulasan,Tanggal
Jerryco,Sanken Dispenser Duo Galon Bawah Atas HWD-Z79IC Xatria Pro Series,bintang 5,"Seller informatif, packing rapi, pengiriman cepat, produk sesuai foto & deskripsi, serta berfungsi dengan baik 👍",6 hari lalu
Nunu,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,Pengiriman cepat. Pengemasan baik. Barang sejak 3 hari diterima berjalan dengan baik.,1 minggu lalu
J***y,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,kualitas sangat baikkkk,1 minggu lalu
R***n,Sanken TW-1222 Mesin Cuci 2 Tabung 11KG,bintang 5,"Kapasitas besar, cucian bersih, gampang cara pakainya",1 minggu lalu
sukandar,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,barang original dan sangat bagus kualitas ya. tokoh ya sangat amanah dan respon,1 minggu lalu
Ronny,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,bintang 5,barang bagus dan langsung pakai hasill OK..,1 minggu lalu
S***i,Sanken HWD-Z88 Water Dispenser Duo gallon,bintang 5,"barang dah nyampe rumah, selamat sampai tujuan",1 minggu lalu
R***y,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,good,1 minggu lalu
F***y,Sanken Mesin Cuci Twin Tub TW-882BP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,sampai cepat datang. berfungsi  langsung Di pakai,1 minggu lalu
I***u,Sanken Mesin Cuci 2 Tabung TW-880NM Dua Tabung,bintang 5,Oke berfungsi dengan baik...,1 minggu lalu
Puji,Sanken Mesin Cuci 2 Tabung 10Kg TW-1125GMR Deluxe,bintang 1,"pelayanan pengiriman yang lambat sekaliii 
butuh cepat karena ada anak bayi yg banyak cucian dikirim 3 hariiii",1 minggu lalu
Gema,Sanken Dispenser Galon Bawah HWD-C588 Xatria Pro Series LED Display,bintang 1,"Driver hanya mengirim barang, tidak membantu penurunan barang… tidak membantu memasangkan dan memastikan brang dalam kondisi baik.
Tau begitu ga saya kasi shere lokasi….... ",1 minggu lalu
Dr,Sanken UV Anti Dust Mite Cordless Vacuum Cleaner SBV-200L HEPA Vakum,bintang 5,👍👍👍👍🙏,1 minggu lalu
D***y,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,Terima kasih barang sudah sampai dan berfungsi dengan baik,1 minggu lalu
P***T,Sanken FS-700GR/BR Kipas Angin,bintang 5,mantap,2 minggu lalu
Farid,Sanken Dispenser Duo Galon Bawah Atas HWD-H230SS Oasis Stainless Steel,bintang 5,"kualitas barang bagus tp agan2 semua hati2 dalam memilih jasa kurir, nih ada buktinya dispenser saya dibolak balik ama sikurir pdhal peringatan di penjual udah jelas bahw... ",2 minggu lalu
N***a,Sanken FS-700GR/BR Kipas Angin,bintang 5,"Partnya lengkap semua dan kipasnya bekerja dengan baik, angin kenceng.",2 minggu lalu
Air,Sanken Mesin Cuci Twin Tub TW-882BP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,mendarat dgn selamat walaupun agak lama pengiriman nya .. Alhamdulillah dapat pas diskon banyak,2 minggu lalu
Khakmi,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,bintang 5,"barang bagus, sedotannya kuat, cocok buat bersihin kasur springbed 👍",2 minggu lalu
Laura,Dispenser Sanken Duo Gallon DA-21G Dispenser Galon Bawah Atas,bintang 5,"sesuai pesanan, seller aktif, kurir ramah, terima kasih.",2 minggu lalu
Y***i,Sanken Dispenser Galon Bawah HWD-C588 Xatria Pro Series LED Display,bintang 5,Packing sudah bubble wrap. Kondisi barang diterima dengan baik.,2 minggu lalu
ANDI,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,"Aman, barang bagus, berfungsi dgn baik.",2 minggu lalu
susilawati,Sanken Rice Cooker 1 Liter SJ-203 Warna Random,bintang 5,pengiriman mantap.. same Day.. sore sudah sampai.. produk OK,2 minggu lalu
Mulia,Sanken Dispenser Galon Bawah HWD-C500E Dispenser Bottom Kompresor,bintang 5,mantap,2 minggu lalu
Hermawan,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,"langsung dites dan hasilnya aman, semoga awet",2 minggu lalu
Wulan,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,bintang 5,"paket cepat datang
kwalitas barang bagus 
semoga pejualan nya semakin sukses",2 minggu lalu
B***o,Sanken SJ-200 Magic Com 1L -Red,bintang 4,"+ gampang bersihin
- ukuran 1L ga cukup buat 1 keluarga, kalo buat anak kos pas nih, maks 1,5 hari kalo lebih nasinya jadi kering",2 minggu lalu
hasan,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,bagus barang jos,2 minggu lalu
H***i,Sanken Dispenser Galon Bawah HWD-C588 Xatria Pro Series LED Display,bintang 4,"produk bagus, original, diskon besar dapat 
pengiriman dan kurir lama",2 minggu lalu
IIN,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,barang sudah sampai,2 minggu lalu
R***a,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,bintang 5,"barang oke. walau bagian belakang agak kurang rapat yaa. air panas berfungsi. air dingin bekerja. order malem, besok siangnya dateng.",2 minggu lalu
d***d,Sanken Dispenser Duo Galon Bawah Atas HWD-Z79IC Xatria Pro Series,bintang 5,"barang sampai bandar lampung dengan aman. semua berfungsi dengan normal. semoga awet, aamiin",2 minggu lalu
Kendy,Sanken SJ-2000M-LG Magic Com 1.8 L Light Green,bintang 5,"sudah sampai dengan aman, packing aman",2 minggu lalu
G***a,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"Sejauh ini, semoga awet.",2 minggu lalu
Dila,Sanken Mesin Cuci 2 Tabung 10Kg TW-1125GMR Deluxe,bintang 5,"Barang sampai dengan aman, kurir toko ramah dan sangat membantu",3 minggu lalu
Y***s,Sanken Mesin Cuci 2 Tabung TW-880NM Dua Tabung,bintang 5,"Setelah dipakai beberapa kali barang nya ok lah sangat bermanfaat, thanks",3 minggu lalu
d***i,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,Oke pake bagettt👍🏻👍🏻,3 minggu lalu
Yunita,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,bintang 5,sampai dengan selamat barangnya tanpa rusak,3 minggu lalu
ompu,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,telah diterima dengan baik masih dalam box.,3 minggu lalu
Jayus,Sanken Dispenser Galon Bawah HWD-C553IC Xatria Pro Series,bintang 5,barang original keren,3 minggu lalu
Nur,Sanken SJ-2500BK Magic Com 1.8L Hitam,bintang 3,"mungkin masalah dari pengiriman,, dan lupa di video efek di unboxin ortu",3 minggu lalu
Ahmad,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,bintang 5,"Alhamdulillah barang sampai dengan selamat dan berfungsi dengan baik. 
semoga awet.. Aamiin",3 minggu lalu
Michael,Sanken SG-369 DX2 Kompor Gas 2 Tungku,bintang 5,"Sedaaaap. Kompor terbaik, tungku api besar, ada api lilin Dan yg paliiiing penting, permukaan kaca yg mudah bgt dibersihin. Mantaaap❤️",3 minggu lalu
Rachmat,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,alhamdulillah barang sdh sampai...semoga berfungsi dengan baik dan awet...terimakasih...,3 minggu lalu
M***d,Sanken SJ-2500BK Magic Com 1.8L Hitam,bintang 5,Pengiriman hanya di hari kerja. Cepat.,3 minggu lalu
Budiman,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"putaran bagus,body agak ringkih",3 minggu lalu
L***i,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,bintang 4,"beratnya mantap, nggak perlu ditekan. tapi sedotannya manaaa....?🥺",3 minggu lalu
h***a,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"Overall mantab, langsung sat set seller nya",3 minggu lalu
amir,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,"bagus
ga penyok
dah mendarat di Sorong Papua Barat daya",3 minggu lalu
M***d,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,bintang 5,barang ori dan berfungsi dengan baik,3 minggu lalu
A***f,Sanken TW-1127GSL Mesin cuci 2 tabung 9KG Chrome Handle,bintang 5,👍🏻,3 minggu lalu
A***a,Sanken SJ-3030BK Magic Com 2L - Black,bintang 5,"Pengiriman cepat, packaging, layanan dan produk bagus",3 minggu lalu
Alex,Dispenser Sanken Duo Gallon DA-21G Dispenser Galon Bawah Atas,bintang 5,"brg sdh di trm dgn baik, sudah sy tes jg smw berfungsi normal, smoga awet, trmksh sanken , sukses selalu",4 minggu lalu
d***i,Sanken AW-S866PP Mesin Cuci Top Loading 7KG,bintang 5,"makasih barang sudah sampai, mudah-mudahan awet",4 minggu lalu
rahadian,Sanken Dispenser Galon Bawah HWD-C588 Xatria Pro Series LED Display,bintang 5,"kualitas bagus, designnya bagus, dan dinginnya mantap",4 minggu lalu
Edris,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,Barang sudah diterima dengan Baik. langsung di coba. semoga awet dan tahan lama,4 minggu lalu
I***s,Sanken 32 Inch Smart LED TV FHD SLE-32SH101SC Digital TV Dolby Audio,bintang 3,"khusus produk tv baik namun sayang sekali yang dikirim tidak sesuai dengan deskripsi seharusnya yang didapat (tidak lengkap), sudah ajukan komplain ternyata di approve un... ",4 minggu lalu
Intan,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,"samapi dengan cepat dan selamat, cuma kurirnya selesai sampai kirim aja.
klo pasang keran kita sendiri. beda klo sama beli ditoko langsung",1 bulan lalu
L***o,Sanken SJ-2500BK Magic Com 1.8L Hitam,bintang 5,"respon seller baik menyarankan mana yang terbaik, sukses selalu buat toko",1 bulan lalu
Hanung,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 4,"barang sesuai spesifikasi dan kondisi baik. hanya saja biaya ekstra pengantaran barang seperti tol dan parkir dibebankan kepada customer yg menerima, walaupun sudah memba... ",1 bulan lalu
nurul,Sanken SJ-3030BK Magic Com 2L - Black,bintang 5,"bagus, cuma agak peyok di bagian depannya",1 bulan lalu
H***z,Sanken Rice Cooker 1 Liter SJ-120H,bintang 5,01 AMIN Anies - Muhaimin,1 bulan lalu
Rio,Sanken HWD-Z88 Water Dispenser Duo gallon,bintang 5,okay,1 bulan lalu
Trian,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,Sip. Engine purr like kitten. Gearbox smooth. Open filter. Overall ready to race,1 bulan lalu
W***y,Sanken DD-60 Dish Dryer,bintang 5,produk dikirim aman dan selamat semua..berfungsi dengan sangat baik dan muat banyak..memuaskan.. thanks seller,1 bulan lalu
I***n,Sanken SJ-3030BK Magic Com 2L - Black,bintang 5,Cepat dan barangnya bagus,1 bulan lalu
Wasis,Sanken Dispenser Galon Bawah HWD-L130SS-WH Oasis Stainless Steel,bintang 5,"Cakep, fast response dan fast delivery juga…semoga sanken tetap mempertahankan quality dan servicenya jg keren.",1 bulan lalu
Yong,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,bintang 3,lampu UVnya tidak mau nyala,1 bulan lalu
M***d,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,Barang sudah sampai dengan selamat terima kasih🙏🏻🙏🏻sukses selalu untuk tokonya🙏🏻🙏🏻,1 bulan lalu
G***e,Sanken Kulkas 1 Pintu SK-V198A-BB Refrigerator Black 190 L,bintang 2,"barang sedikit bermasalah didatengkan teknisi setelah ber minggu2, teknisi jg ogah2an kerjanya dan pelayanannya sampe dirumah kulkas gk diapa2in tp yaudah mau gimana lg.... ",1 bulan lalu
Khrisna,Sanken Kulkas 1 Pintu SK-V198A-BB Refrigerator Black 190 L,bintang 5,Kiriman cepat,1 bulan lalu
Dillo,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,bintang 5,mantap vacuum yang terdapat uv agar bakteri hempas,1 bulan lalu
bagas,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,bintang 4,"Pengiriman cepat dan admin fast response.
Air panas berfungsi normal tapi air dinginnya kurang memuaskan.
Kalau anda penyuka minum air dingin, dispenser ini akan terasa k... ",1 bulan lalu
Arie,Sanken Dispenser Galon Bawah HWD-C553IC Xatria Pro Series,bintang 5,Semoga awet 😎👍🏻,1 bulan lalu
W***y,Sanken DD-33 UV Dish Dryer Steriliser UV Sterilizer Baby Bottle,bintang 1,"barang baru dipake 1 bulan sudah rusak. dibawa ke service center dari akhir november sampai saat ini ngga ada kejelasan katanya menunggu sparepart,di wa untuk tanya statu... ",1 bulan lalu
Herbiyantoro,Sanken Mesin Cuci 2 Tabung TW-880NM Dua Tabung,bintang 5,Ok,1 bulan lalu
Muhammad,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,"Barang sudah sampai dan sesuai, semoga awet, terima kasih",1 bulan lalu
Erie,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,Ok,1 bulan lalu
dudi,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"respon cepat pengiriman cepat , belum.dicoba mudah mudahan awet..",1 bulan lalu
Yusmantit,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,bintang 5,ok,1 bulan lalu
hendra,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"Barangnya bagus, desainnya keren, tenaga motor mesinnya mantap",1 bulan lalu
A***f,Sanken Dispenser Galon Bawah HWD-C553IC Xatria Pro Series,bintang 5,"Respon cepat, produk bagus. Recommended 👍👍👍",1 bulan lalu
D***O,Sanken DD-33 UV Dish Dryer Steriliser UV Sterilizer Baby Bottle,bintang 5,sangat membantu untuk menstrilkan botol susu bayi,1 bulan lalu
Irfan,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,Terimakasih.....,1 bulan lalu
Rachma,Sanken UV Anti Dust Mite Cordless Vacuum Cleaner SBV-200L HEPA Vakum,bintang 5,"Respon CS kurang memuaskan..Agak lama balasnya..
Proses pemesanan jg harus tunggu waktu masuk kerja..Padahal balas chat ttp berjalan...Kan bs y di accept dl..Kirim setela... ",1 bulan lalu
H***n,Sanken HWD-Z96 Water Dispenser Duo gallon,bintang 5,Mantab,1 bulan lalu
A***n,Sanken Dispenser Galon Bawah HWD-C500E Dispenser Bottom Kompresor,bintang 5,luar biasa pelayanannya,1 bulan lalu
F***a,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,bintang 5,krn kurir toko. jd aman. tp lama bgt nunggu jadwalny,1 bulan lalu
Beni,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"Mantap

Bagus",1 bulan lalu
T***a,Sanken Dispenser Galon Bawah HWD-C500E Dispenser Bottom Kompresor,bintang 5,buat kado. tmn ku seneng. pengirimannya cpt krn pake instan dan aman.. respon admin cukup baik aku nny2 sbar jawabnya. terima kasih,1 bulan lalu
Gabriel,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,bintang 5,barangnya okay ...cuma barangnya agak lama sampainya.,1 bulan lalu
E***i,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,mantap,1 bulan lalu
Rachmad,Sanken DD-33 UV Dish Dryer Steriliser UV Sterilizer Baby Bottle,bintang 5,oke,1 bulan lalu
Abednego,Sanken Microwave MO-200BK 20 Liter Hitam,bintang 1,piring kaca tidak dikemas dengan baik. akibatnya piring microwave pecah dalam pengiriman lalu kemudian klaim asuransi lama sekali tidak sesuai jadwal,1 bulan lalu
A***a,Sanken SJ-130H Magic Com 1L - Black,bintang 5,"Sesuai pesanan, diantarkan on time dan dijaga dengan baik oleh kurir toko hingga tujuan (tak ada penyok di kardus). Semoga kompor dan rice cooker Sanken kualitasnya ok da... ",1 bulan lalu
A***a,Sanken SG-363 Kompor Gas 2 Tungku Kaca Kompor Dua Tungku,bintang 5,"Sesuai pesanan, diantarkan on time dan dijaga dengan baik oleh kurir toko hingga tujuan (tak ada penyok di kardus). Semoga kompor dan rice cooker Sanken kualitasnya ok da... ",1 bulan lalu
Ahmad,Sanken Mesin Cuci Twin Tub TW-882BP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,Brg sesuai spek dan telah berfungsi dgn baik. Semoga awet.,1 bulan lalu
i***l,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,bintang 5,works just fine. hisapan kuat. mantap,1 bulan lalu
Animora,Sanken UV Anti Dust Mite Vacuum Cleaner SBV-120C HEPA Vakum Kasur Bed,bintang 5,"original brand nya sudah di coba dan berfungsi dengan baik. sudah di coba, sesuai dengan deskripsi nya",1 bulan lalu
M***d,Dispenser Sanken Galon Bawah DB-20G Dispenser Bottom Loading,bintang 3,engga tau QAnya gimana sebelum di kirim. tapi saat mau di pakai langsung bocor. hubungin sales langsung di arahkan ke service center. kasih bintang 3 karena service cente... ,1 bulan lalu
Wasit,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"Barang baik, pengiriman dan respon cepat. mantab...",1 bulan lalu
Anindyo,Sanken Dispenser Galon Bawah HWD-C500E Dispenser Bottom Kompresor,bintang 5,Mantab,1 bulan lalu
P***i,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,Barang bagus,1 bulan lalu
nelliy,Sanken Dispenser Galon Bawah HWD-C528IC Xtaria Pro Series,bintang 5,"Alhamdulillaah barabg sdh sampe dgn aman, masyaAlloh tabarokalloh, bagus, mulus,tanpa lecet, Barang original sanken, untuk tombol panas, normal, dingin semua berfungsi dg... ",1 bulan lalu
Heri,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,bintang 5,"sudah dicoba aman Berfungsi
pengiriman cepat",1 bulan lalu
SEMLIH,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"Barang oroginal, berfungsi baik, sudah di pakai cuci mantap... Pengiriman cepat... 👍👍👍",1 bulan lalu
Puji,Sanken SJ-2500BK Magic Com 1.8L Hitam,bintang 5,barang orinal jadi dapat garansi... mantap,1 bulan lalu
Rafik,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,bintang 5,"respond cepat, qualitas sesuai harga",1 bulan lalu
m***d,Sanken Dispenser Galon Bawah HWD-C528IC Xtaria Pro Series,bintang 5,"despenser sesuai pesanan, bahan berkualitas, dinginnya joss dan panasnya pas buat bikin kopi dan seduh pop mie",1 bulan lalu
D***y,Dispenser Sanken Galon Bawah HWD-C555IC Dispenser Bottom Loading,bintang 5,"Barang bagus, pengiriman cepat, sesuai deskripsi. Belum di Coba sih",1 bulan lalu
Yanuar,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,pesan pakai Instant di kirim pakai Mobil. Fast Respon,1 bulan lalu
Maria,Sanken SK-V231A-CB Kulkas 2 Pintu,bintang 5,"Barang original, pengiriman cepat, garansi,  tidak lecet dan kualitas bagus!",1 bulan lalu
Ferry,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,Mesin cuci berfungsi dengan baik.. Berkualitas.,1 bulan lalu
Hendra,Sanken Mesin Cuci Twin Tub TW-882BP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"Sudah sampai, makasih banyak, semoga awet dah",1 bulan lalu
T***o,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"Pengiriman cepat, ready stock, kondisi barang baik",1 bulan lalu
Muhammad,Sanken Dispenser Galon Bawah HWD-C588 Xatria Pro Series LED Display,bintang 5,penjual sangat komunikatif dan solutif pada saat saya buru2 untuk pengiriman barang. fast response.,1 bulan lalu
Cak,Sanken Dispenser Galon Bawah HWD-C553IC Xatria Pro Series,bintang 1,tatakan gelas terlepas... mungkin next bisa di beri isolasi atau pengaman lain nya... dan diberitahukan kepada kurir kalau posisi barang tidak bisa di bolak balik. ini sa... ,1 bulan lalu
Evie,Dispenser Sanken Galon Bawah HWD-C106 Dispenser Bottom Loading,bintang 5,bismillah semoga awet.. 🤲🤗,1 bulan lalu
Fabio,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,bintang 3,paketnya sudah sampe dan saya terima tapi pengirimannya bukan melalui kargo tapi lewat kurir motor mohon ke depannya diperhatikan lagi pengirimannya min untung kompresorn... ,1 bulan lalu
S***y,Sanken Dispenser Galon Bawah HWD-C528IC Xtaria Pro Series,bintang 5,"So far aman, secara fisik baik, fungsi normal, semoga awet dan mudah klaimnya jika ada masalah",1 bulan lalu
Rudi,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,ok mantab,1 bulan lalu
i***a,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,bintang 5,Kualitas barang baik,1 bulan lalu
Irawan,Sanken UV Anti Dust Mite Cordless Vacuum Cleaner SBV-200L HEPA Vakum,bintang 5,"brg ori, garansi. brg 👍👍, toko jg 👍👍",1 bulan lalu
A***i,Sanken Mesin Cuci Twin Tub TW-882BP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"barang sudah sampai sesuai estimasi.
pengiriman sesuai estimasi waktu",1 bulan lalu
MUFLI,Sanken DD-68 UV Dish Dryer Steriliser UV Sterilizer Baby Bottle,bintang 5,"Barang bagus, Pengiriman cepat.",1 bulan lalu
Adam,Sanken SJ-3030BK Magic Com 2L - Black,bintang 5,ibu gw suka👍,1 bulan lalu
Irwani,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,bintang 4,Barang bagus tapi garansi tidak ada cap tokonya,1 bulan lalu
M***d,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,"produk orisinil, bergaransi...bagus dan puas",1 bulan lalu
muhamad,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,semua berfungsi dengan bai dan sesuai semua,1 bulan lalu
W***n,Sanken HWE-67C Dispenser IC-Cool,bintang 5,"Recommended Seller pokoknya, sesuai pesanan dan deskripsi, packing aman full bubelwrap, barang berfungsi baik Hoot Norma Cool, Original Produk Sanken, terima kasih tokope... ",1 bulan lalu
s***i,Sanken Mesin Cuci Twin Tub TW-882NP 9kg Mesin Cuci 2 Dua Tabung,bintang 5,saler sat set 3 jam sampai di depok,1 bulan lalu
Win,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 5,Sesuai pesanan,1 bulan lalu
F***l,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,"barang original, and good 👍",1 bulan lalu
Akmal,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,bintang 5,berfungsi dgn baik. kondisinya mulus.,1 bulan lalu
Akmal,Sanken FS-800BK Kipas Angin,bintang 5,berfungsi dgn baik,1 bulan lalu
M***e,Sanken AW-S807 Mesin Cuci 1 Tabung 8Kg Top Loading,bintang 5,Bagus lah!,1 bulan lalu
A***a,Sanken Mesin Cuci 2 Tabung TW-880NM Dua Tabung,bintang 5,"Barang sudah diterima sesuai pesanan, namun blm di coba",1 bulan lalu
Rohanita,Sanken HWE-67C Dispenser IC-Cool,bintang 4,Terima kasih sudah tepat waktu mengirimkan walaupun hanya 3 unit,1 bulan lalu
Rohanita,Sanken HWE-69CW Dispenser IC-Cool,bintang 4,Terima kasih sudah tepat waktu mengirimkan walaupun hanya 3 unit,1 bulan lalu
Rohanita,Sanken HWE-69BL Dispenser IC-Cool,bintang 1,Saya kecewa dengan sistematika pengirimannya. Barang dikirim terpisah dengan 3 unit lainnya dan pembeli harus menanggung ongkir sendiri dengan memesan gosend sendiri supa... ,1 bulan lalu
T***y,Sanken Dispenser Galon Bawah HWD-C533IC Bottom Loading,bintang 3,"We had terrible experience with the chosen courier (Gocar). Mr Yusuf deliberately asked for toll money.

Please review his performance : ****************",1 bulan lalu
Bio,Sanken Dispenser Galon Bawah HWD-C500E Dispenser Bottom Kompresor,bintang 5,semoga awet,1 bulan lalu
R***i,Sanken Dispenser Galon Bawah HWD-C558IC Dispenser Bottom Loading,bintang 1,Barang rusak penyok,1 bulan lalu
claude,Sanken Dispenser Galon Bawah HWD-C523IC Hitam,bintang 5,"Fast respon, barang sesuai iklan.
Pintu dispenser bagian bawah tidak bs dibuka karena nyangkut, namun bs diakali.
Overall ok semua.",2 bulan lalu
Johan,Sanken TW-1127GSL Mesin cuci 2 tabung 9KG Chrome Handle,bintang 5,"barang sudah sampai dengan aman... sudah dicoba dan berfungsi dengan baik, semoga awet",2 bulan lalu
