Tanggal,Produk,Rating,Label,Ulasan,Cleaning,Tokenizing,Normalisasi,Stopword,Stemming,text
1 hari lalu,POLYTRON Smart Cinemax Android TV 32 inch PLD 32TAG9855,bintang 5,1,"barang bagus,  garansi mantap 5 tahun",barang bagus garansi mantap tahun,"['barang', 'bagus', 'garansi', 'mantap', 'tahun']","['barang', 'bagus', 'garansi', 'mantap', 'tahun']","['barang', 'bagus', 'garansi', 'mantap']","['barang', 'bagus', 'garansi', 'mantap']",barang bagus garansi mantap
1 hari lalu,"POLYTRON Cinemax Soundbar DIGITAL LED TV 32"" PLD 32BV1558",bintang 5,1,"paket sudah saya terima dalam kondisi baik dan sudah dicoba. . .  semuanya normal.  
semoga awet. ",paket sudah saya terima dalam kondisi baik dan sudah dicoba semuanya normal semoga awet,"['paket', 'sudah', 'saya', 'terima', 'dalam', 'kondisi', 'baik', 'dan', 'sudah', 'dicoba', 'semuanya', 'normal', 'semoga', 'awet']","['paket', 'sudah', 'saya', 'terima', 'dalam', 'kondisi', 'baik', 'dan', 'sudah', 'dicoba', 'semuanya', 'normal', 'semoga', 'awet']","['paket', 'terima', 'kondisi', 'dicoba', 'semoga', 'awet']","['paket', 'terima', 'kondisi', 'coba', 'moga', 'awet']",paket terima kondisi coba moga awet
1 hari lalu,POLYTRON Rice Cooker Donabe 2 Liter PRC 1201,bintang 5,1,"barang berfungsi dengan baik. 
stelah datang,  barang dibuat masak nasi berfungsi normal dengan hasil nasi yang baik ( tergantung beras ). 

karena sebelumnya pernah beli di. . .  ",barang berfungsi dengan baik stelah datang barang dibuat masak nasi berfungsi normal dengan hasil nasi yang baik tergantung beras karena sebelumnya pernah beli di,"['barang', 'berfungsi', 'dengan', 'baik', 'stelah', 'datang', 'barang', 'dibuat', 'masak', 'nasi', 'berfungsi', 'normal', 'dengan', 'hasil', 'nasi', 'yang', 'baik', 'tergantung', 'beras', 'karena', 'sebelumnya', 'pernah', 'beli', 'di']","['barang', 'berfungsi', 'dengan', 'baik', 'setelah', 'datang', 'barang', 'dibuat', 'masak', 'nasi', 'berfungsi', 'normal', 'dengan', 'hasil', 'nasi', 'yang', 'baik', 'tergantung', 'beras', 'karena', 'sebelumnya', 'pernah', 'beli', 'di']","['barang', 'berfungsi', 'barang', 'masak', 'berfungsi', 'hasil', 'tergantung', 'beras', 'beli']","['barang', 'fungsi', 'barang', 'masak', 'fungsi', 'hasil', 'gantung', 'beras', 'beli']",barang fungsi barang masak fungsi hasil gantung beras beli
1 hari lalu,POLYTRON Bluetooth Speaker PMA 9321 /B,bintang 5,1,"pengiriman cepat.  speaker berfungsi normal.  suara bagus,  ada pengaturan bass dan trebel.  bisa pakai kabel aux dan rca.  semoga awet. ",pengiriman cepat speaker berfungsi normal suara bagus ada pengaturan bass dan trebel bisa pakai kabel aux dan rca semoga awet,"['pengiriman', 'cepat', 'speaker', 'berfungsi', 'normal', 'suara', 'bagus', 'ada', 'pengaturan', 'bass', 'dan', 'trebel', 'bisa', 'pakai', 'kabel', 'aux', 'dan', 'rca', 'semoga', 'awet']","['pengiriman', 'cepat', 'speaker', 'berfungsi', 'normal', 'suara', 'bagus', 'ada', 'pengaturan', 'bass', 'dan', 'trebel', 'bisa', 'pakai', 'kabel', 'aux', 'dan', 'rca', 'semoga', 'awet']","['pengiriman', 'cepat', 'berfungsi', 'suara', 'bagus', 'pengaturan', 'trebel', 'pakai', 'aux', 'rca', 'semoga', 'awet']","['kirim', 'cepat', 'fungsi', 'suara', 'bagus', 'atur', 'trebel', 'pakai', 'aux', 'rca', 'moga', 'awet']",kirim cepat fungsi suara bagus atur trebel pakai aux rca moga awet
1 hari lalu,POLYTRON Multimedia Speaker PMA 9527 /BA,bintang 5,1,"kurir ok,  seller ok,  barang ok.  terima kasih. ",kurir ok seller ok barang ok terima kasih,"['kurir', 'ok', 'seller', 'ok', 'barang', 'ok', 'terima', 'kasih']","['kurir', 'ok', 'seller', 'ok', 'barang', 'ok', 'terima', 'kasih']","['kurir', 'ok', 'ok', 'barang', 'ok', 'terima', 'kasih']","['kurir', 'ok', 'ok', 'barang', 'ok', 'terima', 'kasih']",kurir ok ok barang ok terima kasih
2 hari lalu,"POLYTRON SMART DIGITAL TV 32""  PLD 32CV1869",bintang 5,1,terima kasih ya,terima kasih ya,"['terima', 'kasih', 'ya']","['terima', 'kasih', 'ya']","['terima', 'kasih']","['terima', 'kasih']",terima kasih
2 hari lalu,POLYTRON Bluetooth Speaker PMA 9310 /BG,bintang 1,0,order tgl 4 feb dikirim tgl 16 feb itu pun karna tgl 16 saya ajukan komplain ke tokped. .  bener² memalukan 👎👎👎👎👎 cukup sekali ini aj belanja dsini,order tgl feb dikirim tgl feb itu pun karna tgl saya ajukan komplain ke tokped bener memalukan cukup sekali ini aj belanja dsini,"['order', 'tgl', 'feb', 'dikirim', 'tgl', 'feb', 'itu', 'pun', 'karna', 'tgl', 'saya', 'ajukan', 'komplain', 'ke', 'tokped', 'bener', 'memalukan', 'cukup', 'sekali', 'ini', 'aj', 'belanja', 'dsini']","['order', 'tanggal', 'feb', 'dikirim', 'tanggal', 'feb', 'itu', 'pun', 'karena', 'tanggal', 'saya', 'sajaukan', 'komplain', 'ke', 'tokped', 'benar', 'memalukan', 'cukup', 'sekali', 'ini', 'saja', 'belanja', 'disini']","['tanggal', 'feb', 'dikirim', 'tanggal', 'feb', 'tanggal', 'sajaukan', 'komplain', 'tokped', 'memalukan', 'belanja']","['tanggal', 'feb', 'kirim', 'tanggal', 'feb', 'tanggal', 'sajaukan', 'komplain', 'tokped', 'malu', 'belanja']",tanggal feb kirim tanggal feb tanggal sajaukan komplain tokped malu belanja
2 hari lalu,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 8 KG PWM 8076,bintang 5,1,cakep,cakep,['cakep'],['cakep'],['cakep'],['cakep'],cakep
2 hari lalu,Polytron AC SMART Neuva Pro SMART AC 1/2 PK PAC 05VZS,bintang 5,1,"udah dipake hampir 3 bulan,  oke super dingin buat kamar ukuran 3. 25 x 3m. . kadang buka kamar biar dinginnya smpe ke ruang tamu haha",udah dipake hampir bulan oke super dingin buat kamar ukuran kadang buka kamar biar dinginnya smpe ke ruang tamu haha,"['udah', 'dipake', 'hampir', 'bulan', 'oke', 'super', 'dingin', 'buat', 'kamar', 'ukuran', 'kadang', 'buka', 'kamar', 'biar', 'dinginnya', 'smpe', 'ke', 'ruang', 'tamu', 'haha']","['sudah', 'dipakai', 'hampir', 'bulan', 'oke', 'super', 'dingin', 'buat', 'kamar', 'ukuran', 'kadang', 'buka', 'kamar', 'biar', 'dinginnya', 'sampai', 'ke', 'ruang', 'tamu', 'haha']","['dipakai', 'oke', 'dingin', 'kamar', 'ukuran', 'kadang', 'buka', 'kamar', 'biar', 'dinginnya', 'ruang', 'tamu', 'haha']","['pakai', 'oke', 'dingin', 'kamar', 'ukur', 'kadang', 'buka', 'kamar', 'biar', 'dingin', 'ruang', 'tamu', 'haha']",pakai oke dingin kamar ukur kadang buka kamar biar dingin ruang tamu haha
2 hari lalu,POLYTRON Smart Projector - PLP 91LFA 120 Inch FHD,bintang 5,1,masalah cuman di pengiriman barang aman,masalah cuman di pengiriman barang aman,"['masalah', 'cuman', 'di', 'pengiriman', 'barang', 'aman']","['masalah', 'cuman', 'di', 'pengiriman', 'barang', 'aman']","['cuman', 'pengiriman', 'barang', 'aman']","['cuman', 'kirim', 'barang', 'aman']",cuman kirim barang aman
2 hari lalu,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 8 KG PWM 8076,bintang 1,0,"slow respon
membatalkan secara sepihak
semoga kena suspend dr tokopedia",slow respon membatalkan secara sepihak semoga kena suspend dr tokopedia,"['slow', 'respon', 'membatalkan', 'secara', 'sepihak', 'semoga', 'kena', 'suspend', 'dr', 'tokopedia']","['slow', 'respon', 'membatalkan', 'secara', 'sepihak', 'semoga', 'kena', 'suspend', 'dari', 'tokopedia']","['respon', 'membatalkan', 'semoga', 'kena', 'tokopedia']","['respon', 'batal', 'moga', 'kena', 'tokopedia']",respon batal moga kena tokopedia
2 hari lalu,POLYTRON Bluetooth Speaker PMA 9321 /B,bintang 5,1,"sangat puas , , ,  barang sesuai budged",sangat puas barang sesuai budged,"['sangat', 'puas', 'barang', 'sesuai', 'budged']","['sangat', 'puas', 'barang', 'sesuai', 'budged']","['puas', 'barang', 'sesuai', 'budged']","['puas', 'barang', 'sesuai', 'budged']",puas barang sesuai budged
2 hari lalu,POLYTRON Mesin Cuci Front Loading 100% Kering Inverter 11 KG PFL 1105,bintang 5,1,"mantappp.  cucian bener2 kering.  yg ngirim kurir dari polytron langsung.  tapi sayangnya lama sampe seminggu. 

petunjuk pemasangan cukup jelas. ",mantappp cucian bener kering yg ngirim kurir dari polytron langsung tapi sayangnya lama sampe seminggu petunjuk pemasangan cukup jelas,"['mantappp', 'cucian', 'bener', 'kering', 'yg', 'ngirim', 'kurir', 'dari', 'polytron', 'langsung', 'tapi', 'sayangnya', 'lama', 'sampe', 'seminggu', 'petunjuk', 'pemasangan', 'cukup', 'jelas']","['mantap', 'cucian', 'benar', 'kering', 'yang', 'mengirim', 'kurir', 'dari', 'polytron', 'langsung', 'tapi', 'sayangnya', 'lama', 'sampai', 'seminggu', 'petunjuk', 'pemasangan', 'cukup', 'jelas']","['mantap', 'cucian', 'kering', 'mengirim', 'kurir', 'polytron', 'langsung', 'sayangnya', 'seminggu', 'petunjuk', 'pemasangan']","['mantap', 'cuci', 'kering', 'kirim', 'kurir', 'polytron', 'langsung', 'sayang', 'minggu', 'tunjuk', 'pasang']",mantap cuci kering kirim kurir polytron langsung sayang minggu tunjuk pasang
3 hari lalu,POLYTRON Active Speaker PAS 8FF22,bintang 5,1,mantap barang normal,mantap barang normal,"['mantap', 'barang', 'normal']","['mantap', 'barang', 'normal']","['mantap', 'barang']","['mantap', 'barang']",mantap barang
3 hari lalu,POLYTRON Mesin Cuci 2 Tabung Primadona Samba 8 Kg PWM 8072,bintang 5,1,barang original.  pengiraman cepat.  kurir ramah.  kerdus diterima kondisi baik,barang original pengiraman cepat kurir ramah kerdus diterima kondisi baik,"['barang', 'original', 'pengiraman', 'cepat', 'kurir', 'ramah', 'kerdus', 'diterima', 'kondisi', 'baik']","['barang', 'original', 'pengiraman', 'cepat', 'kurir', 'ramah', 'kerdus', 'diterima', 'kondisi', 'baik']","['barang', 'pengiraman', 'cepat', 'kurir', 'ramah', 'kerdus', 'diterima', 'kondisi']","['barang', 'iram', 'cepat', 'kurir', 'ramah', 'kerdus', 'terima', 'kondisi']",barang iram cepat kurir ramah kerdus terima kondisi
3 hari lalu,POLYTRON Active Speaker PAS 10D28,bintang 5,1,beli speaker aktif ya yg jelas jelas aja lah. . .  polytron the winning theme. . . ,beli speaker aktif ya yg jelas jelas aja lah polytron the winning theme,"['beli', 'speaker', 'aktif', 'ya', 'yg', 'jelas', 'jelas', 'aja', 'lah', 'polytron', 'the', 'winning', 'theme']","['beli', 'speaker', 'aktif', 'ya', 'yang', 'jelas', 'jelas', 'saja', 'lah', 'polytron', 'the', 'winning', 'theme']","['beli', 'aktif', 'polytron']","['beli', 'aktif', 'polytron']",beli aktif polytron
3 hari lalu,Polytron Speaker PPB C05A6,bintang 5,1,suaranya mantap 🔊 desain elegan bahannya kokoh respon penjualnya top,suaranya mantap desain elegan bahannya kokoh respon penjualnya top,"['suaranya', 'mantap', 'desain', 'elegan', 'bahannya', 'kokoh', 'respon', 'penjualnya', 'top']","['suaranya', 'mantap', 'desain', 'elegan', 'bahannya', 'kokoh', 'respon', 'penjualnya', 'top']","['suaranya', 'mantap', 'desain', 'elegan', 'bahannya', 'kokoh', 'respon', 'penjualnya']","['suara', 'mantap', 'desain', 'elegan', 'bahan', 'kokoh', 'respon', 'jual']",suara mantap desain elegan bahan kokoh respon jual
3 hari lalu,POLYTRON Smart Cinemax Soundbar TV 32 inch PLD 32BAG9858,bintang 5,1,produk lokal mantap,produk lokal mantap,"['produk', 'lokal', 'mantap']","['produk', 'lokal', 'mantap']","['produk', 'lokal', 'mantap']","['produk', 'lokal', 'mantap']",produk lokal mantap
3 hari lalu,POLYTRON Mesin Cuci 2 Tabung Primadona Giant 9 Kg PWM 9072,bintang 5,1,bisa muat banyak barangnya original 👍 gampang dipakai hemat listrik ⚡ desainnya elegan ✨ packaging aman 🙏,bisa muat banyak barangnya original gampang dipakai hemat listrik desainnya elegan packaging aman,"['bisa', 'muat', 'banyak', 'barangnya', 'original', 'gampang', 'dipakai', 'hemat', 'listrik', 'desainnya', 'elegan', 'packaging', 'aman']","['bisa', 'muat', 'banyak', 'barangnya', 'original', 'gampang', 'dipakai', 'hemat', 'listrik', 'desainnya', 'elegan', 'packaging', 'aman']","['muat', 'barangnya', 'gampang', 'dipakai', 'hemat', 'listrik', 'desainnya', 'elegan', 'packaging', 'aman']","['muat', 'barang', 'gampang', 'pakai', 'hemat', 'listrik', 'desain', 'elegan', 'packaging', 'aman']",muat barang gampang pakai hemat listrik desain elegan packaging aman
4 hari lalu,POLYTRON Mesin Cuci Front Loading 100% Kering Inverter 11 KG PFL 1105,bintang 5,1,"barang telah sampai,  pelayanan cepat dan barang nya aman. ",barang telah sampai pelayanan cepat dan barang nya aman,"['barang', 'telah', 'sampai', 'pelayanan', 'cepat', 'dan', 'barang', 'nya', 'aman']","['barang', 'telah', 'sampai', 'pelayanan', 'cepat', 'dan', 'barang', 'nya', 'aman']","['barang', 'pelayanan', 'cepat', 'barang', 'nya', 'aman']","['barang', 'layan', 'cepat', 'barang', 'nya', 'aman']",barang layan cepat barang nya aman
4 hari lalu,POLYTRON Kulkas 1 Pintu Belleza Varia 150 liter PRA 15DRX,bintang 4,1,"barang dikirim tepat waktu,  admin responsif.  ada barang yang cacat tapi urusan gampang melalui cs nyaa.  terimakasih",barang dikirim tepat waktu admin responsif ada barang yang cacat tapi urusan gampang melalui cs nyaa terimakasih,"['barang', 'dikirim', 'tepat', 'waktu', 'admin', 'responsif', 'ada', 'barang', 'yang', 'cacat', 'tapi', 'urusan', 'gampang', 'melalui', 'cs', 'nyaa', 'terimakasih']","['barang', 'dikirim', 'tepat', 'waktu', 'admin', 'responsif', 'ada', 'barang', 'yang', 'cacat', 'tapi', 'urusan', 'gampang', 'melalui', 'cs', 'nya', 'terimakasih']","['barang', 'dikirim', 'admin', 'responsif', 'barang', 'cacat', 'urusan', 'gampang', 'cs', 'nya', 'terimakasih']","['barang', 'kirim', 'admin', 'responsif', 'barang', 'cacat', 'urus', 'gampang', 'cs', 'nya', 'terimakasih']",barang kirim admin responsif barang cacat urus gampang cs nya terimakasih
4 hari lalu,POLYTRON Mesin Cuci 1 Tabung Zeromatic series Hijab 7.5 KG PAW 7527,bintang 5,1,alhamdulillah sudah datang keren banget pokonya terimakasih seller and kurir,alhamdulillah sudah datang keren banget pokonya terimakasih seller and kurir,"['alhamdulillah', 'sudah', 'datang', 'keren', 'banget', 'pokonya', 'terimakasih', 'seller', 'and', 'kurir']","['alhamdulillah', 'sudah', 'datang', 'keren', 'banget', 'pokoknya', 'terimakasih', 'seller', 'and', 'kurir']","['alhamdulillah', 'keren', 'banget', 'pokoknya', 'terimakasih', 'kurir']","['alhamdulillah', 'keren', 'banget', 'pokok', 'terimakasih', 'kurir']",alhamdulillah keren banget pokok terimakasih kurir
4 hari lalu,POLYTRON Mesin Cuci 1 Tabung Zeromatic Hijab 7.5 KG PAW 75517,bintang 1,0,cukup sekali sih beli disini.  beli tanggal 1 feb baru sampe tanggal 14 feb.  2 minggu ga ada kabar sama sekali.  admin nya semuanya gak informatif sama sekali.  harus selalu. . .  ,cukup sekali sih beli disini beli tanggal feb baru sampe tanggal feb minggu ga ada kabar sama sekali admin nya semuanya gak informatif sama sekali harus selalu,"['cukup', 'sekali', 'sih', 'beli', 'disini', 'beli', 'tanggal', 'feb', 'baru', 'sampe', 'tanggal', 'feb', 'minggu', 'ga', 'ada', 'kabar', 'sama', 'sekali', 'admin', 'nya', 'semuanya', 'gak', 'informatif', 'sama', 'sekali', 'harus', 'selalu']","['cukup', 'sekali', 'sih', 'beli', 'disini', 'beli', 'tangengenggakl', 'feb', 'baru', 'sampai', 'tangengenggakl', 'feb', 'minggu', 'engenggak', 'ada', 'kabar', 'sama', 'sekali', 'admin', 'nya', 'semuanya', 'engenggakk', 'informatif', 'sama', 'sekali', 'harus', 'selalu']","['sih', 'beli', 'beli', 'tangengenggakl', 'feb', 'tangengenggakl', 'feb', 'minggu', 'engenggak', 'kabar', 'admin', 'nya', 'engenggakk', 'informatif']","['sih', 'beli', 'beli', 'tangengenggakl', 'feb', 'tangengenggakl', 'feb', 'minggu', 'engenggak', 'kabar', 'admin', 'nya', 'engenggakk', 'informatif']",sih beli beli tangengenggakl feb tangengenggakl feb minggu engenggak kabar admin nya engenggakk informatif
4 hari lalu,POLYTRON Kulkas 1 Pintu Belleza 170 liter PRA 17Z,bintang 3,0,sebenarnya produknya bagus tapi ada dua catatan tidak baik: 1.  ada sedikit penyok di bagian dalam pintu yang berwarna putih 2.  pintu kulkas datang dalam keadaan tidak dip. . .  ,sebenarnya produknya bagus tapi ada dua catatan tidak baik ada sedikit penyok di bagian dalam pintu yang berwarna putih pintu kulkas datang dalam keadaan tidak dip,"['sebenarnya', 'produknya', 'bagus', 'tapi', 'ada', 'dua', 'catatan', 'tidak', 'baik', 'ada', 'sedikit', 'penyok', 'di', 'bagian', 'dalam', 'pintu', 'yang', 'berwarna', 'putih', 'pintu', 'kulkas', 'datang', 'dalam', 'keadaan', 'tidak', 'dip']","['sebenarnya', 'produknya', 'bagus', 'tapi', 'ada', 'dua', 'catatan', 'tidak', 'baik', 'ada', 'sedikit', 'penyok', 'di', 'bagian', 'dalam', 'pintu', 'yang', 'berwarna', 'putih', 'pintu', 'kulkas', 'datang', 'dalam', 'keadaan', 'tidak', 'dip']","['produknya', 'bagus', 'catatan', 'tidak', 'penyok', 'pintu', 'berwarna', 'putih', 'pintu', 'kulkas', 'tidak']","['produk', 'bagus', 'catat', 'tidak', 'penyok', 'pintu', 'warna', 'putih', 'pintu', 'kulkas', 'tidak']",produk bagus catat tidak penyok pintu warna putih pintu kulkas tidak
4 hari lalu,"POLYTRON SMART DIGITAL TV 24""  PLD 24CV1869",bintang 1,0,"pembelian kedua. . . .  ini tv penangkap sinyalnya jelek banget,  dirumah ada tv 5 dicobain tetep aja sinyal ilang2an. . . . coba perbaikin bagian produksi. . . saya beli dua tv ini. . .  ",pembelian kedua ini tv penangkap sinyalnya jelek banget dirumah ada tv dicobain tetep aja sinyal ilangan coba perbaikin bagian produksi saya beli dua tv ini,"['pembelian', 'kedua', 'ini', 'tv', 'penangkap', 'sinyalnya', 'jelek', 'banget', 'dirumah', 'ada', 'tv', 'dicobain', 'tetep', 'aja', 'sinyal', 'ilangan', 'coba', 'perbaikin', 'bagian', 'produksi', 'saya', 'beli', 'dua', 'tv', 'ini']","['pembelian', 'kedua', 'ini', 'tv', 'penangkap', 'sinyalnya', 'jelek', 'banget', 'dirumah', 'ada', 'tv', 'dicobain', 'tetap', 'saja', 'sinyal', 'ilangan', 'coba', 'memperbaiki', 'bagian', 'produksi', 'saya', 'beli', 'dua', 'tv', 'ini']","['pembelian', 'tv', 'penangkap', 'sinyalnya', 'jelek', 'banget', 'dirumah', 'tv', 'dicobain', 'sinyal', 'ilangan', 'coba', 'memperbaiki', 'produksi', 'beli', 'tv']","['beli', 'tv', 'tangkap', 'sinyal', 'jelek', 'banget', 'rumah', 'tv', 'dicobain', 'sinyal', 'ilangan', 'coba', 'baik', 'produksi', 'beli', 'tv']",beli tv tangkap sinyal jelek banget rumah tv dicobain sinyal ilangan coba baik produksi beli tv
