Tanggal,Produk,Ulasan,Cleaning,Tokenizing,Normalisasi
1 hari lalu,Polytron AC SMART Neuva Pro SMART AC 1/2 PK PAC 05VZS,"udah dipake hampir 3 bulan,  oke super dingin buat kamar ukuran 3. 25 x 3m. . kadang buka kamar biar dinginnya smpe ke ruang tamu haha",udah dipake hampir bulan oke super dingin buat kamar ukuran   kadang buka kamar biar dinginnya smpe ke ruang tamu haha,"['udah', 'dipake', 'hampir', 'bulan', 'oke', 'super', 'dingin', 'buat', 'kamar', 'ukuran', '', '', 'kadang', 'buka', 'kamar', 'biar', 'dinginnya', 'smpe', 'ke', 'ruang', 'tamu', 'haha']","['sudah', 'dipakai', 'hampir', 'bulan', 'oke', 'super', 'dingin', 'buat', 'kamar', 'ukuran', '', '', 'kadang', 'buka', 'kamar', 'biar', 'dinginnya', 'sampai', 'ke', 'ruang', 'tamu', 'haha']"
1 hari lalu,POLYTRON Smart Projector - PLP 91LFA 120 Inch FHD,masalah cuman di pengiriman barang aman,masalah cuman di pengiriman barang aman,"['masalah', 'cuman', 'di', 'pengiriman', 'barang', 'aman']","['masalah', 'cuman', 'di', 'pengiriman', 'barang', 'aman']"
1 hari lalu,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 8 KG PWM 8076,"slow respon
membatalkan secara sepihak
semoga kena suspend dr tokopedia",slow respon membatalkan secara sepihak semoga kena suspend dr tokopedia,"['slow', 'respon', 'membatalkan', 'secara', 'sepihak', 'semoga', 'kena', 'suspend', 'dr', 'tokopedia']","['slow', 'respon', 'membatalkan', 'secara', 'sepihak', 'semoga', 'kena', 'suspend', 'dari', 'tokopedia']"
1 hari lalu,POLYTRON Bluetooth Speaker PMA 9321 /B,"sangat puas , , ,  barang sesuai budged",sangat puas barang sesuai budged,"['sangat', 'puas', 'barang', 'sesuai', 'budged']","['sangat', 'puas', 'barang', 'sesuai', 'budged']"
1 hari lalu,POLYTRON Mesin Cuci Front Loading 100% Kering Inverter 11 KG PFL 1105,"mantappp.  cucian bener2 kering.  yg ngirim kurir dari polytron langsung.  tapi sayangnya lama sampe seminggu. 

petunjuk pemasangan cukup jelas. ",mantappp cucian bener kering yg ngirim kurir dari polytron langsung tapi sayangnya lama sampe seminggu petunjuk pemasangan cukup jelas ,"['mantappp', 'cucian', 'bener', 'kering', 'yg', 'ngirim', 'kurir', 'dari', 'polytron', 'langsung', 'tapi', 'sayangnya', 'lama', 'sampe', 'seminggu', 'petunjuk', 'pemasangan', 'cukup', 'jelas', '']","['mantap', 'cucian', 'benar', 'kering', 'yang', 'mengirim', 'kurir', 'dari', 'polytron', 'langsung', 'tapi', 'sayangnya', 'lama', 'sampai', 'seminggu', 'petunjuk', 'pemasangan', 'cukup', 'jelas', '']"
2 hari lalu,POLYTRON Active Speaker PAS 8FF22,mantap barang normal,mantap barang normal,"['mantap', 'barang', 'normal']","['mantap', 'barang', 'normal']"
2 hari lalu,POLYTRON Mesin Cuci 2 Tabung Primadona Samba 8 Kg PWM 8072,barang original.  pengiraman cepat.  kurir ramah.  kerdus diterima kondisi baik,barang original pengiraman cepat kurir ramah kerdus diterima kondisi baik,"['barang', 'original', 'pengiraman', 'cepat', 'kurir', 'ramah', 'kerdus', 'diterima', 'kondisi', 'baik']","['barang', 'original', 'pengiraman', 'cepat', 'kurir', 'ramah', 'kerdus', 'diterima', 'kondisi', 'baik']"
2 hari lalu,POLYTRON Active Speaker PAS 10D28,beli speaker aktif ya yg jelas jelas aja lah. . .  polytron the winning theme. . . ,beli speaker aktif ya yg jelas jelas aja lah polytron the winning theme ,"['beli', 'speaker', 'aktif', 'ya', 'yg', 'jelas', 'jelas', 'aja', 'lah', 'polytron', 'the', 'winning', 'theme', '']","['beli', 'speaker', 'aktif', 'ya', 'yang', 'jelas', 'jelas', 'saja', 'lah', 'polytron', 'the', 'winning', 'theme', '']"
2 hari lalu,Polytron Speaker PPB C05A6,suaranya mantap 🔊 desain elegan bahannya kokoh respon penjualnya top,suaranya mantap desain elegan bahannya kokoh respon penjualnya top,"['suaranya', 'mantap', 'desain', 'elegan', 'bahannya', 'kokoh', 'respon', 'penjualnya', 'top']","['suaranya', 'mantap', 'desain', 'elegan', 'bahannya', 'kokoh', 'respon', 'penjualnya', 'top']"
2 hari lalu,POLYTRON Smart Cinemax Soundbar TV 32 inch PLD 32BAG9858,produk lokal mantap,produk lokal mantap,"['produk', 'lokal', 'mantap']","['produk', 'lokal', 'mantap']"
2 hari lalu,POLYTRON Mesin Cuci 2 Tabung Primadona Giant 9 Kg PWM 9072,bisa muat banyak barangnya original 👍 gampang dipakai hemat listrik ⚡ desainnya elegan ✨ packaging aman 🙏,bisa muat banyak barangnya original gampang dipakai hemat listrik desainnya elegan packaging aman ,"['bisa', 'muat', 'banyak', 'barangnya', 'original', 'gampang', 'dipakai', 'hemat', 'listrik', 'desainnya', 'elegan', 'packaging', 'aman', '']","['bisa', 'muat', 'banyak', 'barangnya', 'original', 'gampang', 'dipakai', 'hemat', 'listrik', 'desainnya', 'elegan', 'packaging', 'aman', '']"
3 hari lalu,POLYTRON Mesin Cuci Front Loading 100% Kering Inverter 11 KG PFL 1105,"barang telah sampai,  pelayanan cepat dan barang nya aman. ",barang telah sampai pelayanan cepat dan barang nya aman ,"['barang', 'telah', 'sampai', 'pelayanan', 'cepat', 'dan', 'barang', 'nya', 'aman', '']","['barang', 'telah', 'sampai', 'pelayanan', 'cepat', 'dan', 'barang', 'nya', 'aman', '']"
3 hari lalu,POLYTRON 4K UHD Smart Cinemax Soundbar Google TV 43 Inch PLD 43BUG5959,"barang telah sampai,  pelayanan cepat dan barang nya aman. ",barang telah sampai pelayanan cepat dan barang nya aman ,"['barang', 'telah', 'sampai', 'pelayanan', 'cepat', 'dan', 'barang', 'nya', 'aman', '']","['barang', 'telah', 'sampai', 'pelayanan', 'cepat', 'dan', 'barang', 'nya', 'aman', '']"
3 hari lalu,POLYTRON Kulkas 1 Pintu Belleza Varia 150 liter PRA 15DRX,"barang dikirim tepat waktu,  admin responsif.  ada barang yang cacat tapi urusan gampang melalui cs nyaa.  terimakasih",barang dikirim tepat waktu admin responsif ada barang yang cacat tapi urusan gampang melalui cs nyaa terimakasih,"['barang', 'dikirim', 'tepat', 'waktu', 'admin', 'responsif', 'ada', 'barang', 'yang', 'cacat', 'tapi', 'urusan', 'gampang', 'melalui', 'cs', 'nyaa', 'terimakasih']","['barang', 'dikirim', 'tepat', 'waktu', 'admin', 'responsif', 'ada', 'barang', 'yang', 'cacat', 'tapi', 'urusan', 'gampang', 'melalui', 'cs', 'nya', 'terimakasih']"
3 hari lalu,POLYTRON Mesin Cuci 1 Tabung Zeromatic series Hijab 7.5 KG PAW 7527,alhamdulillah sudah datang keren banget pokonya terimakasih seller and kurir,alhamdulillah sudah datang keren banget pokonya terimakasih seller and kurir,"['alhamdulillah', 'sudah', 'datang', 'keren', 'banget', 'pokonya', 'terimakasih', 'seller', 'and', 'kurir']","['alhamdulillah', 'sudah', 'datang', 'keren', 'banget', 'pokoknya', 'terimakasih', 'seller', 'and', 'kurir']"
3 hari lalu,POLYTRON Mesin Cuci 1 Tabung Zeromatic Hijab 7.5 KG PAW 75517,cukup sekali sih beli disini.  beli tanggal 1 feb baru sampe tanggal 14 feb.  2 minggu ga ada kabar sama sekali.  admin nya semuanya gak informatif sama sekali.  harus selalu. . .  ,cukup sekali sih beli disini beli tanggal feb baru sampe tanggal feb minggu ga ada kabar sama sekali admin nya semuanya gak informatif sama sekali harus selalu ,"['cukup', 'sekali', 'sih', 'beli', 'disini', 'beli', 'tanggal', 'feb', 'baru', 'sampe', 'tanggal', 'feb', 'minggu', 'ga', 'ada', 'kabar', 'sama', 'sekali', 'admin', 'nya', 'semuanya', 'gak', 'informatif', 'sama', 'sekali', 'harus', 'selalu', '']","['cukup', 'sekali', 'sih', 'beli', 'disini', 'beli', 'tangengenggakl', 'feb', 'baru', 'sampai', 'tangengenggakl', 'feb', 'minggu', 'engenggak', 'ada', 'kabar', 'sama', 'sekali', 'admin', 'nya', 'semuanya', 'engenggakk', 'informatif', 'sama', 'sekali', 'harus', 'selalu', '']"
3 hari lalu,POLYTRON Kulkas 1 Pintu Belleza 170 liter PRA 17Z,sebenarnya produknya bagus tapi ada dua catatan tidak baik: 1.  ada sedikit penyok di bagian dalam pintu yang berwarna putih 2.  pintu kulkas datang dalam keadaan tidak dip. . .  ,sebenarnya produknya bagus tapi ada dua catatan tidak baik ada sedikit penyok di bagian dalam pintu yang berwarna putih pintu kulkas datang dalam keadaan tidak dip ,"['sebenarnya', 'produknya', 'bagus', 'tapi', 'ada', 'dua', 'catatan', 'tidak', 'baik', 'ada', 'sedikit', 'penyok', 'di', 'bagian', 'dalam', 'pintu', 'yang', 'berwarna', 'putih', 'pintu', 'kulkas', 'datang', 'dalam', 'keadaan', 'tidak', 'dip', '']","['sebenarnya', 'produknya', 'bagus', 'tapi', 'ada', 'dua', 'catatan', 'tidak', 'baik', 'ada', 'sedikit', 'penyok', 'di', 'bagian', 'dalam', 'pintu', 'yang', 'berwarna', 'putih', 'pintu', 'kulkas', 'datang', 'dalam', 'keadaan', 'tidak', 'dip', '']"
3 hari lalu,"POLYTRON SMART DIGITAL TV 24""  PLD 24CV1869","pembelian kedua. . . .  ini tv penangkap sinyalnya jelek banget,  dirumah ada tv 5 dicobain tetep aja sinyal ilang2an. . . . coba perbaikin bagian produksi. . . saya beli dua tv ini. . .  ",pembelian kedua ini tv penangkap sinyalnya jelek banget dirumah ada tv dicobain tetep aja sinyal ilangan coba perbaikin bagian produksi saya beli dua tv ini ,"['pembelian', 'kedua', 'ini', 'tv', 'penangkap', 'sinyalnya', 'jelek', 'banget', 'dirumah', 'ada', 'tv', 'dicobain', 'tetep', 'aja', 'sinyal', 'ilangan', 'coba', 'perbaikin', 'bagian', 'produksi', 'saya', 'beli', 'dua', 'tv', 'ini', '']","['pembelian', 'kedua', 'ini', 'tv', 'penangkap', 'sinyalnya', 'jelek', 'banget', 'dirumah', 'ada', 'tv', 'dicobain', 'tetap', 'saja', 'sinyal', 'ilangan', 'coba', 'memperbaiki', 'bagian', 'produksi', 'saya', 'beli', 'dua', 'tv', 'ini', '']"
3 hari lalu,"POLYTRON SMART DIGITAL TV 24""  PLD 24CV1869","pembelian pertama. . . .  ini tv penangkap sinyalnya jelek banget,  dirumah ada tv 5 dicobain tetep aja sinyal ilang2an. . . . coba perbaikin bagian produksi. . . saya beli dua tv in. . .  ",pembelian pertama ini tv penangkap sinyalnya jelek banget dirumah ada tv dicobain tetep aja sinyal ilangan coba perbaikin bagian produksi saya beli dua tv in ,"['pembelian', 'pertama', 'ini', 'tv', 'penangkap', 'sinyalnya', 'jelek', 'banget', 'dirumah', 'ada', 'tv', 'dicobain', 'tetep', 'aja', 'sinyal', 'ilangan', 'coba', 'perbaikin', 'bagian', 'produksi', 'saya', 'beli', 'dua', 'tv', 'in', '']","['pembelian', 'pertama', 'inii', 'tv', 'penangkap', 'siniyalnya', 'jelek', 'banget', 'dirumah', 'ada', 'tv', 'dicobaini', 'tetap', 'saja', 'siniyal', 'ilangan', 'coba', 'memperbaiki', 'bagian', 'produksi', 'saya', 'beli', 'dua', 'tv', 'ini', '']"
3 hari lalu,POLYTRON Chest Freezer 100 Liter PCF 118,"barang sesuai deskripsi,  tidak cacat saat pengiriman,  dites menyala suhunya bisa dingin",barang sesuai deskripsi tidak cacat saat pengiriman dites menyala suhunya bisa dingin,"['barang', 'sesuai', 'deskripsi', 'tidak', 'cacat', 'saat', 'pengiriman', 'dites', 'menyala', 'suhunya', 'bisa', 'dingin']","['barang', 'sesuai', 'deskripsi', 'tidak', 'cacat', 'saat', 'pengiriman', 'dites', 'menyala', 'suhunya', 'bisa', 'dingin']"
3 hari lalu,POLYTRON Rice Cooker Donabe 2 Liter PRC 1201,aesthetic,aesthetic,['aesthetic'],['aesthetic']
3 hari lalu,"POLYTRON Cinemax Soundbar DIGITAL LED TV 32"" PLD 32BV1558",barang sudah nyampai sangat cepat. toko ini sangat recommended dan sangat ramah. pelayanan super cepat dan barang super aman dan origonal. sukses selalu seller dan kurir,barang sudah nyampai sangat cepat toko ini sangat recommended dan sangat ramah pelayanan super cepat dan barang super aman dan origonal sukses selalu seller dan kurir,"['barang', 'sudah', 'nyampai', 'sangat', 'cepat', 'toko', 'ini', 'sangat', 'recommended', 'dan', 'sangat', 'ramah', 'pelayanan', 'super', 'cepat', 'dan', 'barang', 'super', 'aman', 'dan', 'origonal', 'sukses', 'selalu', 'seller', 'dan', 'kurir']","['barang', 'sudah', 'nyampai', 'sangat', 'cepat', 'toko', 'ini', 'sangat', 'recommended', 'dan', 'sangat', 'ramah', 'pelayanan', 'super', 'cepat', 'dan', 'barang', 'super', 'aman', 'dan', 'origonal', 'sukses', 'selalu', 'seller', 'dan', 'kurir']"
3 hari lalu,POLYTRON Kulkas 2 Pintu Beauty metal door 210 liter PRB 219,"banyak kendala nya ketika memesan,  banyak drama,  dan pengiriman lama juga",banyak kendala nya ketika memesan banyak drama dan pengiriman lama juga,"['banyak', 'kendala', 'nya', 'ketika', 'memesan', 'banyak', 'drama', 'dan', 'pengiriman', 'lama', 'juga']","['banyak', 'kendala', 'nya', 'ketika', 'memesan', 'banyak', 'drama', 'dan', 'pengiriman', 'lama', 'juga']"
4 hari lalu,POLYTRON Kulkas 1 Pintu Beauty metal door 170 liter PRB 179,alhamdulillah barangnya sangat bagus🥰,alhamdulillah barangnya sangat bagus ,"['alhamdulillah', 'barangnya', 'sangat', 'bagus', '']","['alhamdulillah', 'barangnya', 'sangat', 'bagus', '']"
4 hari lalu,"POLYTRON Cinemax Digital LED TV 32"" PLD 32TV1855","stock habis pengiriman lamaaaa, , ",stock habis pengiriman lamaaaa ,"['stock', 'habis', 'pengiriman', 'lamaaaa', '']","['stock', 'habis', 'pengiriman', 'lamaaaa', '']"
4 hari lalu,"POLYTRON SMART DIGITAL TV 24""  PLD 24CV1869","berfungsi bgt baik alhamdulillah selamat sampai tujuan hanya pengiriman yang lama . 
kk untuk klaim gratis langganan mola aksesnya gimana ?",berfungsi bgt baik alhamdulillah selamat sampai tujuan hanya pengiriman yang lama kk untuk klaim gratis langganan mola aksesnya gimana ,"['berfungsi', 'bgt', 'baik', 'alhamdulillah', 'selamat', 'sampai', 'tujuan', 'hanya', 'pengiriman', 'yang', 'lama', 'kk', 'untuk', 'klaim', 'gratis', 'langganan', 'mola', 'aksesnya', 'gimana', '']","['berfungsi', 'banget', 'baik', 'alhamdulillah', 'selamat', 'sampai', 'tujuan', 'hanya', 'pengiriman', 'yang', 'lama', 'kakak', 'untuk', 'klaim', 'gratis', 'langganan', 'mola', 'aksesnya', 'bagaimana', '']"
4 hari lalu,POLYTRON Mesin Cuci 1 Tabung Zeromatic series Hijab 8.5 KG PAW 8527,"barang sesuai pesanan,  original,  pengiriman cepat,  respon penjual baik. . . ",barang sesuai pesanan original pengiriman cepat respon penjual baik ,"['barang', 'sesuai', 'pesanan', 'original', 'pengiriman', 'cepat', 'respon', 'penjual', 'baik', '']","['barang', 'sesuai', 'pesanan', 'original', 'pengiriman', 'cepat', 'respon', 'penjual', 'baik', '']"
5 hari lalu,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 8 KG PWM 8076,top markotop,top markotop,"['top', 'markotop']","['top', 'markotop']"
5 hari lalu,POLYTRON Mesin Cuci 2 Tabung Giant Series Hijab 7 KG PWM 7076,"alhamdulillah barang sudah sampai dengan selamat,  admin ramah,  kurirnya juga ramah.  cuman pengiriman agak lama karna libur panjang. 
overall baguuuss semuanyaa,  terima kas. . .  ",alhamdulillah barang sudah sampai dengan selamat admin ramah kurirnya juga ramah cuman pengiriman agak lama karna libur panjang overall baguuuss semuanyaa terima kas ,"['alhamdulillah', 'barang', 'sudah', 'sampai', 'dengan', 'selamat', 'admin', 'ramah', 'kurirnya', 'juga', 'ramah', 'cuman', 'pengiriman', 'agak', 'lama', 'karna', 'libur', 'panjang', 'overall', 'baguuuss', 'semuanyaa', 'terima', 'kas', '']","['alhamdulillah', 'barang', 'sudah', 'sampai', 'dengan', 'selamat', 'admin', 'ramah', 'kurirnya', 'juga', 'ramah', 'cuman', 'pengiriman', 'agak', 'lama', 'karena', 'libur', 'panjang', 'overall', 'baguuuss', 'semuanya', 'terima', 'kas', '']"
5 hari lalu,POLYTRON Mesin Cuci 1 Tabung Zeromatic Laguna Hijab 10 KG PAW 1028,"mantap barang original,  sesuai diskripsi. sangat membantu kegiatan istri,  semua jadi ringan.  semoga awet",mantap barang original sesuai diskripsi sangat membantu kegiatan istri semua jadi ringan semoga awet,"['mantap', 'barang', 'original', 'sesuai', 'diskripsi', 'sangat', 'membantu', 'kegiatan', 'istri', 'semua', 'jadi', 'ringan', 'semoga', 'awet']","['mantap', 'barang', 'original', 'sesuai', 'diskripsi', 'sangat', 'membantu', 'kegiatan', 'istri', 'semua', 'jadi', 'ringan', 'semoga', 'awet']"
5 hari lalu,POLYTRON Bluetooth Speaker PMA 9526 /B,"utk pengiriman baiknya disertakan nomor resi,  dan diupdate di tokopedia sehingga customer bs melihat progress pengiriman sampai dimana.  jangan bilangnya sudah masuk pengi. . .  ",utk pengiriman baiknya disertakan nomor resi dan diupdate di tokopedia sehingga customer bs melihat progress pengiriman sampai dimana jangan bilangnya sudah masuk pengi ,"['utk', 'pengiriman', 'baiknya', 'disertakan', 'nomor', 'resi', 'dan', 'diupdate', 'di', 'tokopedia', 'sehingga', 'customer', 'bs', 'melihat', 'progress', 'pengiriman', 'sampai', 'dimana', 'jangan', 'bilangnya', 'sudah', 'masuk', 'pengi', '']","['untuk', 'pengiriman', 'baiknya', 'disertakan', 'nomor', 'resi', 'dan', 'diupdate', 'di', 'tokopedia', 'sehingga', 'customer', 'bisa', 'melihat', 'progress', 'pengiriman', 'sampai', 'dimana', 'jangan', 'bilangnya', 'sudah', 'masuk', 'pengi', '']"
5 hari lalu,POLYTRON Mesin Cuci 1 Tabung Zeromatic Laguna Hijab 8 KG PAW 8028,barqng bagus hanya pengiriman lama perlu ditingkatkan pelayqnan. terima kasih,barqng bagus hanya pengiriman lama perlu ditingkatkan pelayqnan terima kasih,"['barqng', 'bagus', 'hanya', 'pengiriman', 'lama', 'perlu', 'ditingkatkan', 'pelayqnan', 'terima', 'kasih']","['barqng', 'bagus', 'hanya', 'pengiriman', 'lama', 'perlu', 'ditingkatkan', 'pelayqnan', 'terima', 'kasih']"
5 hari lalu,POLYTRON Kulkas 2 Pintu Belleza 210 liter PRM 21DMY,barang sampai dengan aman,barang sampai dengan aman,"['barang', 'sampai', 'dengan', 'aman']","['barang', 'sampai', 'dengan', 'aman']"
5 hari lalu,POLYTRON Kulkas 2 Pintu Belleza JUMBO Inverter 240 Liter PRW 25VX,"sejauh ini barang bagus,  sudah 5bln pemakaian",sejauh ini barang bagus sudah bln pemakaian,"['sejauh', 'ini', 'barang', 'bagus', 'sudah', 'bln', 'pemakaian']","['sejauh', 'ini', 'barang', 'bagus', 'sudah', 'bulan', 'pemakaian']"
6 hari lalu,POLYTRON Mesin Cuci 1 Tabung Zeromatic Hijab 7.5 KG PAW 75517,sudah di terima dengan baik. ,sudah di terima dengan baik ,"['sudah', 'di', 'terima', 'dengan', 'baik', '']","['sudah', 'di', 'terima', 'dengan', 'baik', '']"
6 hari lalu,POLYTRON Cinemax Digital TV 24 inch PLD 24TV1855,bagus juga tv nya dan suara soundbar nya juga mantap,bagus juga tv nya dan suara soundbar nya juga mantap,"['bagus', 'juga', 'tv', 'nya', 'dan', 'suara', 'soundbar', 'nya', 'juga', 'mantap']","['bagus', 'juga', 'tv', 'nya', 'dan', 'suara', 'soundbar', 'nya', 'juga', 'mantap']"
6 hari lalu,Polytron AC SMART Neuva Pro SMART AC 1/2 PK PAC 05VZS,pengiriman tepat waktu. .  barang original karena official,pengiriman tepat waktu barang original karena official,"['pengiriman', 'tepat', 'waktu', 'barang', 'original', 'karena', 'official']","['pengiriman', 'tepat', 'waktu', 'barang', 'original', 'karena', 'official']"
6 hari lalu,POLYTRON Kulkas 2 Pintu Beauty Steel 240 liter PRB 287LB,"bisa muat banyak mutu terjamin sni barangnya original 👍 ada garansi resmi desainnya elegan ✨ gampang dipakai proses pesanan cepat packaging aman 🙏
cek out 2 februari,  p. . .  ",bisa muat banyak mutu terjamin sni barangnya original ada garansi resmi desainnya elegan gampang dipakai proses pesanan cepat packaging aman cek out februari  ,"['bisa', 'muat', 'banyak', 'mutu', 'terjamin', 'sni', 'barangnya', 'original', 'ada', 'garansi', 'resmi', 'desainnya', 'elegan', 'gampang', 'dipakai', 'proses', 'pesanan', 'cepat', 'packaging', 'aman', 'cek', 'out', 'februari', '', '']","['bisa', 'muat', 'banyak', 'mutu', 'terjamin', 'sni', 'barangnya', 'original', 'ada', 'garansi', 'resmi', 'desainnya', 'elegan', 'gampang', 'dipakai', 'proses', 'pesanan', 'cepat', 'packaging', 'aman', 'cek', 'out', 'februari', '', '']"
6 hari lalu,POLYTRON Professional Active Speaker PAS PRO12F6,"maaf br kasih ulasan skrg
kualitas bagus",maaf br kasih ulasan skrg kualitas bagus,"['maaf', 'br', 'kasih', 'ulasan', 'skrg', 'kualitas', 'bagus']","['maaf', 'baru', 'kasih', 'ulasan', 'sekarang', 'kualitas', 'bagus']"
6 hari lalu,POLYTRON Smart Projector - PLP 91LFA 120 Inch FHD,"cs ditanya delivery,  jawab normatip seperti robot,  spt tidak ada kepastian. . 
delivery leleeet  info 2 -7 hari tp delay 8 hari total 15 hari dari pembelian,  padahal barang. . .  ",cs ditanya delivery jawab normatip seperti robot spt tidak ada kepastian delivery leleeet info hari tp delay hari total hari dari pembelian padahal barang ,"['cs', 'ditanya', 'delivery', 'jawab', 'normatip', 'seperti', 'robot', 'spt', 'tidak', 'ada', 'kepastian', 'delivery', 'leleeet', 'info', 'hari', 'tp', 'delay', 'hari', 'total', 'hari', 'dari', 'pembelian', 'padahal', 'barang', '']","['cs', 'ditanya', 'delivery', 'jawab', 'normatip', 'seperti', 'robot', 'seperti', 'tidak', 'ada', 'kepastian', 'delivery', 'leleeet', 'info', 'hari', 'tapi', 'delay', 'hari', 'total', 'hari', 'dari', 'pembelian', 'padahal', 'barang', '']"
6 hari lalu,"POLYTRON SMART DIGITAL TV 24""  PLD 24CV1869","terimakasih topet
semoga awet",terimakasih topet semoga awet,"['terimakasih', 'topet', 'semoga', 'awet']","['terimakasih', 'topet', 'semoga', 'awet']"
